user hashtag hour weight
623087851 16283 394673 1
293161420 5421 394673 1
915634556 16892 394673 1
1239175064 4447 394673 1
2968071675 4447 394673 1
2968071675 16655 394673 1
2793816121 6849 394673 1
710820930 4447 394673 1
710820930 17042 394673 1
800883264 4447 394673 1
800883264 1811 394673 1
800883264 5790 394673 1
169460503 842 394673 1
114073151 16306 394673 1
28354671 12828 394673 1
570809350 15596 394673 3
570809350 1811 394673 1
205863400 15664 394673 1
205863400 15926 394673 1
144175082 7368 394673 1
2800093805 4447 394673 1
2800093805 4283 394673 1
2800093805 16890 394673 1
2800093805 5410 394673 1
41883569 5170 394673 1
299802753 4447 394673 1
2808218208 11930 394673 1
568166810 14337 394673 1
59127047 10137 394673 1
59127047 3904 394673 1
59127047 1695 394673 1
357678095 17465 394673 1
357678095 7336 394673 1
18503976 4447 394673 2
311941367 16937 394673 1
311941367 1811 394673 1
89297450 7368 394673 1
1541325164 5172 394673 1
52054932 2303 394673 2
52054932 16862 394673 2
52054932 1811 394673 1
1488384222 422 394673 1
822053700 14334 394673 1
276927029 1811 394673 1
1047762673 15596 394673 1
9286102 1811 394673 1
9286102 4447 394673 1
263884623 4447 394673 1
862791187 1811 394673 1
2370843367 4447 394673 1
822053700 5170 394673 1
2275086535 7368 394673 1
2224769241 4447 394673 1
35328409 13641 394673 1
312024587 2303 394673 1
52054932 1483 394673 1
1234866218 1744 394673 1
167348641 14022 394673 1
167348641 14738 394673 1
2748199539 2275 394673 1
18503976 7368 394673 1
634073253 14062 394673 1
634073253 15596 394673 1
42480685 9487 394673 1
320663460 17419 394673 1
320663460 5401 394673 1
320663460 6126 394673 1
320663460 9917 394673 1
320663460 1939 394673 1
320663460 2237 394673 1
398197893 4447 394673 1
398197893 11534 394673 1
401546242 8562 394673 1
144188800 9581 394673 1
60916474 6854 394673 1
1610067109 4447 394673 1
276927029 15148 394673 1
276927029 10220 394673 1
276927029 7368 394673 1
207901468 17512 394673 1
303959597 2141 394673 1
303959597 3361 394673 1
303959597 842 394673 1
199676135 4447 394673 1
199676135 10831 394673 1
1579958106 1811 394673 1
1579958106 15223 394673 1
1493172554 228 394673 1
1080504878 4447 394673 1
2186238001 4447 394673 1
35328409 4447 394673 1
35328409 3271 394673 1
35328409 1811 394673 1
482492371 15523 394673 1
482492371 15366 394673 1
482492371 13241 394673 1
482492371 10902 394673 1
482492371 15741 394673 1
482492371 15223 394673 1
482492371 16664 394673 1
482492371 12900 394673 1
482492371 15500 394673 1
242888142 3271 394673 1
242888142 7368 394673 1
242888142 16664 394673 1
450646893 15596 394673 1
450646893 4447 394673 1
2194380549 4447 394673 1
2194380549 15389 394673 1
2411118586 13974 394673 1
189854391 2940 394673 1
189854391 16024 394673 1
189854391 10403 394673 1
1510112354 2188 394673 1
25070574 11849 394674 2
1920502987 6480 394674 1
65317125 1794 394674 1
49424478 1572 394674 1
49424478 6849 394674 1
49424478 4447 394674 1
205863400 15664 394674 1
2664127044 14075 394674 1
1299571837 7368 394674 1
299011836 12717 394674 1
299011836 7368 394674 1
299011836 4447 394674 1
299011836 15596 394674 1
2288565137 1811 394674 2
2288565137 6396 394674 1
2288565137 10220 394674 2
1674045481 5175 394674 1
82086680 11556 394674 1
106509870 15896 394674 2
91759076 1811 394674 1
1674045481 14337 394674 1
572759226 7782 394674 1
2275086535 7368 394674 2
79960318 549 394674 1
456095785 2307 394674 1
456095785 10220 394674 1
456095785 15148 394674 1
456095785 10053 394674 1
569181554 5170 394674 1
189854391 15598 394674 1
613275074 7710 394674 1
613275074 7368 394674 1
1396770006 3316 394674 1
613275074 3420 394674 1
613275074 2817 394674 1
522182935 7708 394674 2
522182935 1811 394674 1
522182935 422 394674 3
2335191978 17405 394674 1
2335191978 7836 394674 1
760527547 4447 394674 2
89453633 5394 394674 1
288454874 1811 394674 1
57046171 6146 394674 1
1239175064 4447 394674 3
49089291 2303 394674 1
6482112 15223 394674 2
6482112 17100 394674 2
6482112 1811 394674 1
2210540498 1811 394674 1
2210540498 490 394674 1
2210540498 14710 394674 1
1488384222 15596 394674 2
315984282 4447 394674 2
394327893 10220 394674 1
599362457 9804 394674 1
599362457 8158 394674 1
163999986 4165 394674 1
276927029 10220 394674 2
276927029 15148 394674 1
16363552 15596 394674 3
1268046530 15687 394674 1
327339071 4447 394674 1
327339071 2954 394674 1
89297450 4447 394674 1
2275086535 4214 394674 1
50832562 15596 394674 1
509511715 8297 394674 1
800883264 5790 394674 1
800883264 4447 394674 1
800883264 1811 394674 1
315984282 15011 394674 1
315984282 5160 394674 1
238511696 16284 394674 1
81238214 15522 394674 1
482492371 16664 394674 1
482492371 12900 394674 1
482492371 15523 394674 1
482492371 10902 394674 1
482492371 15366 394674 1
482492371 13241 394674 1
482492371 15741 394674 1
482492371 15223 394674 1
482492371 15500 394674 1
8878442 16754 394674 1
270838009 5170 394674 1
545799320 4447 394674 3
545799320 15706 394674 1
970299846 1811 394674 2
970299846 724 394674 2
970299846 5170 394674 2
1037479752 9573 394674 1
426026032 12945 394674 1
426026032 12991 394674 1
570552536 4447 394674 1
570552536 564 394674 1
570552536 1811 394674 1
332225362 4447 394674 1
332225362 6478 394674 1
581788973 14988 394674 1
533075360 10220 394674 1
533075360 842 394674 1
533075360 4447 394674 1
1076082146 7407 394674 1
293161420 7368 394674 1
293161420 422 394674 1
437261550 1229 394674 1
437261550 1766 394674 1
437261550 1811 394674 1
1470136669 5170 394674 1
960097554 3913 394674 1
1954508112 422 394674 1
1954508112 7368 394674 1
741086282 15596 394674 1
741086282 4447 394674 1
741086282 7368 394674 1
189854391 11556 394674 1
189854391 15904 394674 1
226578237 4447 394674 1
2314915515 4447 394674 1
2915197727 11328 394674 1
1240626438 16263 394674 1
2500238699 12741 394674 1
2777553130 4447 394674 1
572634122 5756 394674 1
406513507 9400 394674 1
1388120449 4447 394674 1
257063764 1811 394674 1
257063764 4447 394674 1
1052693192 4447 394674 1
2886669730 4447 394674 1
2886669730 13505 394674 1
2886669730 842 394674 1
1359098635 16677 394674 1
