user,hashtag,hour,weight
1,1000020,362753,1
1,1000639,362716,1
2,1000002,362678,1
2,1000003,362708,3
2,1000009,362727,1
2,1000020,362679,1
2,1000020,362727,1
2,1000020,362731,1
2,1000639,362731,1
2,1003229,362679,1
2,1003229,362727,1
2,1003367,362679,1
2,1003367,362708,1
2,1004491,362708,1
2,1004491,362727,1
2,1009575,362731,1
3,1000002,362402,1
3,1000002,362465,1
3,1000002,362508,1
3,1000002,362523,1
3,1000002,362541,3
3,1000002,362555,3
3,1000002,362558,2
3,1000002,362559,1
3,1000002,362561,1
3,1000002,362579,3
3,1000002,362594,1
3,1000002,362619,3
3,1000002,362620,2
3,1000003,362393,1
3,1000003,362400,3
3,1000003,362401,1
3,1000003,362402,2
3,1000003,362410,1
3,1000003,362411,2
3,1000003,362443,1
3,1000003,362445,1
3,1000003,362465,2
3,1000003,362470,2
3,1000003,362471,1
3,1000003,362475,2
3,1000003,362489,1
3,1000003,362490,1
3,1000003,362493,1
3,1000003,362494,1
3,1000003,362498,2
3,1000003,362499,1
3,1000003,362507,1
3,1000003,362508,1
3,1000003,362515,1
3,1000003,362520,2
3,1000003,362531,4
3,1000003,362541,6
3,1000003,362544,1
3,1000003,362555,2
3,1000003,362558,2
3,1000003,362559,1
3,1000003,362594,1
3,1000003,362619,3
3,1000003,362620,2
3,1000005,362541,1
3,1000008,362572,1
3,1000008,362579,1
3,1000008,362581,1
3,1000008,362593,2
3,1000008,362620,1
3,1000020,362489,1
3,1000020,362490,1
3,1000020,362494,1
3,1000020,362498,3
3,1000020,362499,2
3,1000020,362507,3
3,1000020,362508,1
3,1000020,362515,1
3,1000020,362520,2
3,1000020,362531,4
3,1000020,362541,7
3,1000020,362555,3
3,1000020,362558,2
3,1000020,362559,1
3,1000020,362561,1
3,1000020,362579,5
3,1000020,362593,1
3,1000020,362594,1
3,1000020,362619,3
3,1000020,362620,3
3,1000086,362541,1
3,1000128,362490,1
3,1000469,362637,6
3,1000469,362638,5
3,1000469,362639,2
3,1000469,362640,1
3,1000639,362716,1
3,1000639,362731,2
3,1000639,362732,1
3,1000639,362738,1
3,1000639,362739,1
3,1000639,362754,1
3,1000828,362411,1
3,1000887,362393,1
3,1000888,362393,1
3,1000889,362393,1
3,1001229,362443,1
3,1001286,362465,1
3,1001347,362475,1
3,1001442,362489,1
3,1001443,362489,1
3,1001557,362507,3
3,1001559,362508,1
3,1001559,362520,1
3,1001593,362508,1
3,1001759,362531,2
3,1001759,362541,7
3,1001759,362544,1
3,1001759,362555,4
3,1001899,362541,1
3,1001952,362558,2
3,1001952,362559,1
3,1001952,362561,1
3,1001955,362555,3
3,1001955,362561,1
3,1002010,362559,1
3,1002282,362613,4
3,1002283,362613,4
3,1002530,362637,6
3,1002530,362638,5
3,1002530,362639,2
3,1002530,362640,1
3,1002530,362641,2
3,1002530,362642,1
3,1003229,362662,1
3,1003229,362693,1
3,1003367,362687,1
3,1003367,362692,1
3,1003367,362693,4
3,1003367,362711,1
3,1003367,362716,1
3,1003367,362738,2
3,1003367,362739,1
3,1003367,362775,1
3,1003414,362687,1
3,1003414,362692,2
3,1003414,362693,4
3,1003414,362711,1
3,1003414,362712,1
3,1003414,362716,1
3,1003414,362738,2
3,1003414,362739,1
3,1003414,362754,1
3,1003414,362756,1
3,1003414,362775,1
3,1003455,362687,1
3,1003716,362693,1
3,1004166,362692,1
3,1004491,362693,1
3,1004572,362692,1
3,1004572,362693,3
3,1004572,362737,1
3,1004572,362738,1
4,1000002,362750,1
4,1000002,362764,1
4,1000003,362729,1
4,1000639,362737,1
4,1000639,362749,1
4,1000639,362762,1
4,1000851,362729,1
4,1003229,362686,1
4,1003229,362729,1
4,1003229,362737,1
4,1003367,362686,1
4,1003367,362690,1
4,1003367,362712,1
4,1003367,362713,1
4,1003367,362729,2
4,1003367,362749,1
4,1003448,362686,1
4,1004491,362684,1
4,1004491,362686,1
4,1004491,362712,1
4,1004491,362729,1
4,1004491,362737,2
4,1004491,362762,1
4,1004491,362764,1
4,1004572,362686,1
4,1005609,362729,1
4,1005609,362737,1
4,1005609,362749,1
4,1005609,362750,1
4,1012797,362762,1
4,1012797,362764,1
5,1000017,362810,6
5,1000020,362810,1
5,1000561,362810,1
5,1000639,362779,7
5,1000639,362781,1
5,1000639,362783,1
5,1000639,362785,1
5,1000639,362787,1
5,1000639,362801,1
5,1000639,362810,6
5,1000957,362810,4
5,1001370,362787,1
5,1001370,362801,1
5,1003444,362779,3
5,1003444,362781,1
5,1003444,362783,1
5,1003444,362801,1
5,1003444,362810,1
5,1005847,362779,4
5,1005847,362785,1
5,1005847,362787,1
5,1005847,362810,1
5,1007451,362779,1
5,1007451,362787,1
5,1018976,362810,5
6,1000002,362638,1
6,1000002,362678,1
6,1000002,362802,1
6,1000003,362678,1
6,1000003,362709,1
6,1000086,362639,1
6,1000422,362803,1
6,1000422,362809,1
6,1000422,362821,1
6,1000422,362823,1
6,1000422,362826,1
6,1000639,362709,1
6,1000639,362712,1
6,1000639,362740,2
6,1000639,362750,1
6,1000958,362826,1
6,1001963,362641,1
6,1002530,362639,1
6,1002530,362641,1
6,1003229,362708,1
6,1003229,362740,1
6,1003229,362802,2
6,1003229,362803,1
6,1003229,362809,1
6,1003229,362823,1
6,1003367,362708,1
6,1003367,362712,1
6,1003367,362740,1
6,1003367,362802,1
6,1003367,362803,1
6,1003367,362823,1
6,1003899,362740,1
6,1004166,362708,1
6,1004166,362740,1
6,1004166,362879,1
6,1004491,362678,1
6,1004491,362691,2
6,1004491,362740,4
6,1004572,362691,2
6,1004572,362707,1
6,1004572,362708,1
6,1004631,362708,1
6,1004631,362740,3
6,1004631,362802,1
6,1004631,362803,1
6,1004908,362709,1
6,1006695,362707,1
6,1006695,362708,1
6,1006695,362709,1
6,1006695,362712,1
6,1008756,362712,1
6,1009575,362740,1
6,1011766,362740,1
7,1000003,362805,1
7,1000639,362711,1
8,1000002,362585,1
8,1000002,362589,1
8,1000002,362590,1
8,1000002,362641,3
8,1000002,362642,3
8,1000002,362651,2
8,1000002,362660,1
8,1000002,362661,3
8,1000002,362662,4
8,1000002,362681,1
8,1000003,362400,1
8,1000003,362585,1
8,1000003,362589,1
8,1000003,362614,1
8,1000003,362615,1
8,1000003,362616,2
8,1000003,362617,4
8,1000003,362618,2
8,1000003,362634,3
8,1000003,362635,1
8,1000003,362639,2
8,1000003,362641,6
8,1000003,362642,6
8,1000003,362651,2
8,1000003,362660,1
8,1000003,362661,3
8,1000003,362662,5
8,1000008,362589,1
8,1000008,362590,1
8,1000008,362614,1
8,1000008,362615,1
8,1000008,362634,3
8,1000052,362641,1
8,1000072,362662,1
8,1000072,362698,1
8,1000639,362709,1
8,1000639,362710,2
8,1000639,362711,1
8,1000639,362713,1
8,1000639,362714,2
8,1000639,362715,1
8,1000639,362722,2
8,1000639,362723,4
8,1000639,362746,1
8,1000639,362747,1
8,1000644,362585,1
8,1001212,362853,1
8,1001212,362881,1
8,1001271,362830,1
8,1001271,362832,1
8,1002282,362614,1
8,1002282,362615,1
8,1002282,362616,1
8,1002282,362617,4
8,1002282,362618,2
8,1002282,362634,1
8,1002283,362614,1
8,1002283,362615,1
8,1002283,362616,1
8,1002283,362617,4
8,1002283,362618,1
8,1002283,362634,3
8,1002490,362617,2
8,1002530,362634,3
8,1002530,362635,1
8,1002530,362639,3
8,1002530,362640,2
8,1002530,362641,6
8,1002530,362642,7
8,1002530,362651,2
8,1003198,362640,1
8,1003229,362660,2
8,1003229,362661,4
8,1003229,362662,5
8,1003229,362664,2
8,1003229,362665,1
8,1003229,362682,1
8,1003229,362683,1
8,1003229,362686,4
8,1003229,362687,1
8,1003229,362688,1
8,1003229,362690,1
8,1003229,362691,3
8,1003229,362698,1
8,1003229,362699,3
8,1003229,362708,1
8,1003229,362709,2
8,1003229,362710,2
8,1003229,362713,1
8,1003229,362714,1
8,1003229,362722,2
8,1003229,362723,4
8,1003229,362739,1
8,1003229,362746,1
8,1003229,362747,1
8,1003229,362756,1
8,1003229,362758,2
8,1003229,362787,2
8,1003229,362801,2
8,1003229,362807,1
8,1003229,362809,4
8,1003229,362810,3
8,1003229,362811,1
8,1003229,362818,1
8,1003229,362825,1
8,1003229,362826,1
8,1003229,362828,1
8,1003229,362829,2
8,1003229,362830,1
8,1003229,362832,1
8,1003229,362833,2
8,1003229,362834,6
8,1003229,362850,1
8,1003229,362867,1
8,1003229,362891,1
8,1003367,362660,1
8,1003367,362661,4
8,1003367,362662,5
8,1003367,362664,2
8,1003367,362665,1
8,1003367,362681,1
8,1003367,362682,1
8,1003367,362683,1
8,1003367,362686,5
8,1003367,362687,1
8,1003367,362688,1
8,1003367,362690,1
8,1003367,362691,2
8,1003367,362708,2
8,1003367,362709,1
8,1003367,362710,1
8,1003367,362711,1
8,1003367,362714,2
8,1003367,362715,1
8,1003367,362722,2
8,1003367,362723,3
8,1003367,362739,1
8,1003367,362746,1
8,1003367,362747,2
8,1003367,362756,2
8,1003367,362757,2
8,1003367,362758,2
8,1003367,362763,2
8,1003367,362770,1
8,1003367,362771,3
8,1003367,362787,2
8,1003367,362788,2
8,1003367,362795,1
8,1003367,362796,1
8,1003367,362801,1
8,1003367,362807,1
8,1003367,362809,4
8,1003367,362810,1
8,1003367,362818,1
8,1003367,362825,1
8,1003367,362826,1
8,1003367,362828,1
8,1003367,362829,1
8,1003367,362832,1
8,1003367,362833,1
8,1003367,362834,1
8,1003367,362850,1
8,1003367,362854,1
8,1003367,362855,1
8,1003367,362867,1
8,1003367,362891,1
8,1003367,362900,1
8,1003414,362664,1
8,1003414,362665,1
8,1003414,362681,1
8,1003414,362683,1
8,1003414,362686,5
8,1003414,362688,1
8,1003414,362691,2
8,1003414,362698,1
8,1003414,362699,1
8,1003414,362709,1
8,1003414,362710,1
8,1003414,362711,1
8,1003414,362713,1
8,1003414,362714,2
8,1003414,362715,1
8,1003414,362722,2
8,1003414,362723,4
8,1003414,362739,1
8,1003414,362746,1
8,1003414,362747,2
8,1003414,362756,2
8,1003414,362757,1
8,1003414,362758,3
8,1003414,362763,2
8,1003414,362770,1
8,1003414,362771,3
8,1003414,362787,2
8,1003414,362788,2
8,1003414,362795,1
8,1003414,362796,1
8,1003414,362801,2
8,1003414,362807,1
8,1003414,362809,4
8,1003414,362810,3
8,1003414,362811,1
8,1003414,362818,1
8,1003414,362825,2
8,1003414,362826,1
8,1003414,362828,1
8,1003414,362829,2
8,1003414,362830,1
8,1003414,362833,2
8,1003414,362834,6
8,1003414,362850,1
8,1003414,362853,2
8,1003414,362854,1
8,1003414,362855,1
8,1003414,362867,1
8,1003414,362891,1
8,1003448,362708,1
8,1003448,362709,2
8,1003899,362771,1
8,1004491,362681,1
8,1004491,362682,1
8,1004491,362683,1
8,1004491,362686,4
8,1004491,362687,2
8,1004491,362688,1
8,1004491,362690,2
8,1004491,362691,4
8,1004491,362698,1
8,1004491,362699,3
8,1004491,362708,1
8,1004491,362709,2
8,1004491,362713,1
8,1004572,362690,3
8,1004572,362708,1
8,1004572,362709,2
8,1004572,362710,1
8,1004572,362711,1
8,1004572,362723,1
8,1005631,362691,4
8,1005631,362698,1
8,1005631,362699,2
8,1007571,362833,1
8,1008849,362795,1
8,1008849,362796,1
8,1012191,362756,1
8,1012191,362757,2
8,1012191,362758,3
8,1012191,362770,1
8,1012191,362771,2
8,1012797,362756,1
8,1012797,362758,1
8,1012797,362770,1
8,1012797,362771,3
8,1018127,362901,1
8,1018155,362788,1
8,1018247,362833,1
8,1018247,362834,5
8,1018247,362850,1
8,1018247,362853,1
8,1018247,362854,1
8,1018247,362855,1
8,1018247,362867,1
8,1018247,362899,1
8,1018247,362900,1
8,1018247,362901,3
9,1000639,362710,1
10,1000639,362713,2
10,1003229,362713,1
10,1003455,362861,1
10,1003455,362879,1
10,1004259,362861,1
10,1009088,362713,1
11,1000639,362711,2
11,1000639,362713,1
11,1003367,362737,1
11,1003367,362738,4
12,1000639,362710,1
12,1000639,362756,1
12,1003229,362729,1
12,1003229,362738,1
12,1003367,362681,1
12,1003367,362738,1
12,1003367,362756,1
12,1003367,362778,2
12,1003367,362799,1
12,1003367,362829,1
13,1000639,362713,2
13,1003367,362713,1
13,1003367,362722,1
14,1000639,362710,1
15,1000003,362687,1
15,1000003,362688,1
15,1000003,362710,1
15,1000113,362686,1
15,1000639,362711,2
15,1000639,362713,1
15,1000639,362738,1
15,1003229,362687,1
15,1003367,362687,4
15,1003367,362688,1
15,1003367,362710,3
15,1003367,362711,1
15,1003367,362714,1
15,1003414,362714,1
15,1003414,362740,1
15,1004491,362682,1
15,1004491,362686,1
15,1004491,362687,4
15,1004491,362688,1
15,1004491,362710,2
15,1004491,362740,1
15,1004572,362682,1
15,1006695,362711,1
15,1009077,362713,1
15,1009268,362714,1
15,1009575,362738,1
15,1009575,362740,1
16,1000639,362711,1
16,1003229,362759,1
17,1000639,362711,1
18,1000002,362701,1
18,1000639,362712,1
18,1006695,362712,1
19,1000002,362759,2
19,1000002,362763,1
19,1000003,362759,1
19,1000639,362713,1
19,1000639,362759,1
19,1002102,362759,1
19,1003229,362759,1
19,1003229,362763,2
19,1003229,362764,1
19,1003367,362666,1
19,1003367,362759,1
19,1003536,362764,1
19,1003608,362759,1
19,1004572,362759,1
19,1012191,362763,1
19,1020735,362849,1
20,1000020,362636,1
20,1000422,362832,1
20,1000639,362710,1
20,1000639,362732,1
20,1000639,362734,1
20,1000639,362738,2
20,1000639,362753,1
20,1000639,362779,2
20,1000729,362678,1
20,1001143,362636,1
20,1001143,362678,1
20,1001143,362690,2
20,1001143,362700,1
20,1002530,362636,1
20,1003229,362663,1
20,1003229,362678,2
20,1003229,362690,2
20,1003229,362700,1
20,1003229,362708,1
20,1003229,362732,1
20,1003229,362734,1
20,1003229,362738,1
20,1003229,362807,1
20,1003367,362663,1
20,1003367,362678,2
20,1003367,362690,3
20,1003367,362700,3
20,1003367,362701,1
20,1003367,362708,1
20,1003367,362732,1
20,1003367,362753,1
20,1003367,362755,1
20,1003367,362779,2
20,1003367,362807,1
20,1003367,362832,1
20,1003501,362701,1
20,1004491,362678,3
20,1004491,362682,1
20,1004491,362683,1
20,1004491,362690,1
20,1004491,362700,2
20,1004491,362701,1
20,1004491,362708,1
20,1004491,362732,1
20,1004491,362738,1
20,1004491,362753,1
20,1004491,362755,1
20,1004491,362779,2
20,1004491,362832,1
20,1004572,362701,1
20,1004572,362708,2
20,1004572,362732,1
20,1004572,362734,1
20,1004572,362753,1
20,1004572,362755,1
20,1004572,362779,2
20,1004887,362807,1
20,1004938,362807,1
20,1005796,362779,1
20,1009575,362734,1
20,1009575,362738,1
20,1012797,362753,1
20,1012797,362755,1
20,1012797,362779,2
20,1020735,362850,3
21,1000002,362712,1
21,1000003,362638,1
21,1000003,362641,1
21,1000020,362641,1
21,1000044,362641,1
21,1000069,362641,1
21,1000199,362853,1
21,1000422,362821,1
21,1000422,362822,2
21,1000422,362827,1
21,1000639,362712,3
21,1000639,362830,1
21,1002530,362638,3
21,1002530,362640,1
21,1002530,362641,1
21,1003229,362733,1
21,1003229,362735,1
21,1003229,362830,1
21,1003367,362663,2
21,1003367,362777,1
21,1003367,362782,1
21,1003367,362783,1
21,1003367,362808,1
21,1003367,362875,1
21,1003414,362875,1
21,1003501,362782,1
21,1004166,362733,1
21,1005591,362827,1
21,1005591,362853,1
21,1005721,362735,1
21,1005721,362782,1
21,1005721,362783,1
21,1005721,362827,1
21,1005721,362830,1
21,1005721,362853,1
21,1005721,362878,2
21,1008849,362777,1
21,1008849,362782,1
21,1008849,362783,1
21,1009575,362783,1
21,1018127,362797,1
21,1018127,362822,1
21,1018127,362875,1
21,1018127,362878,2
21,1018247,362878,1
21,1020049,362821,1
21,1020054,362822,1
21,1020057,362822,1
21,1020735,362853,2
22,1000639,362713,1
22,1003899,362730,1
23,1000639,362713,1
24,1000252,362733,1
24,1000639,362713,1
24,1000639,362733,1
24,1000639,362734,1
24,1003229,362661,2
24,1003229,362733,1
24,1003367,362784,1
24,1004491,362687,1
24,1004491,362784,1
24,1008849,362784,1
25,1000002,362657,1
