user,hashtag,hour,weight
5479912,1995,437040,1
7517622,2009,437036,1
7517622,12517,437002,1
8133272,387,436994,1
8133272,387,437006,1
8133272,434,437037,1
8133272,896,436995,1
8133272,1247,436995,1
8133272,1743,436995,1
8133272,2024,437034,1
8133272,2903,436995,1
8133272,2973,436995,1
8133272,7100,436995,1
8133272,10920,436995,1
8133272,11276,436995,1
8133272,14242,437007,1
8133272,15147,436995,1
8613692,181,437022,1
8613692,340,437015,1
8613692,340,437021,1
8613692,387,437021,1
8613692,1267,437021,1
8613692,1743,437021,1
8613692,1995,437021,3
8613692,1995,437022,3
8613692,1995,437061,1
8613692,1995,437078,1
8613692,2067,437022,1
8613692,2384,437021,1
8613692,2389,437021,1
8613692,2407,437021,1
8613692,2701,437038,1
8613692,2903,437020,1
8613692,2903,437021,1
8613692,5148,437061,1
8613692,5488,437021,1
8613692,5901,437023,1
8613692,6380,437035,1
8613692,6393,437018,1
8613692,6393,437021,1
8613692,6652,437018,1
8613692,7584,437021,1
8613692,7784,437021,1
8613692,8398,437021,1
8613692,8965,437021,1
8613692,9106,437061,1
8613692,9185,437021,1
8613692,9524,437018,1
8613692,9748,437021,1
8613692,10624,437021,1
8613692,10851,437021,1
8613692,10856,437021,1
8613692,11078,437068,1
8613692,12584,437021,1
8613692,12595,437003,1
8613692,13684,437061,1
8613692,15563,437021,1
8613692,15961,437022,1
8613692,17013,437003,1
10596282,27,436989,2
10596282,27,437024,2
10596282,27,437025,1
10596282,27,437037,1
10596282,27,437055,1
10596282,27,437059,2
10596282,27,437060,2
10596282,27,437061,1
10596282,39,437024,1
10596282,41,437060,3
10596282,68,437061,2
10596282,328,436986,1
10596282,375,436989,1
10596282,515,437047,1
10596282,581,437047,1
10596282,779,437027,1
10596282,861,437024,1
10596282,949,437027,1
10596282,949,437060,1
10596282,973,436987,1
10596282,1630,436989,1
10596282,1653,437027,1
10596282,1676,437055,1
10596282,1707,437027,1
10596282,1710,437027,1
10596282,1995,437056,1
10596282,1995,437061,1
10596282,2147,437027,1
10596282,2736,437065,1
10596282,2739,437056,1
10596282,2742,436986,1
10596282,2903,437027,1
10596282,3144,437027,1
10596282,3466,437057,1
10596282,3595,437061,1
10596282,3793,437061,1
10596282,4261,437024,1
10596282,4498,437061,1
10596282,4576,437047,1
10596282,4610,437056,1
10596282,4610,437061,1
10596282,4611,437060,1
10596282,4611,437061,2
10596282,4631,437056,1
10596282,4631,437061,1
10596282,4635,437060,2
10596282,4635,437061,2
10596282,4644,437047,1
10596282,4644,437061,1
10596282,4666,437027,1
