user,hashtag,hour,weight
413463389,1000,394655,1
1209695323,1001,394655,1
1315350320,1002,394655,1
427610792,1003,394655,1
486768752,1004,394655,1
486768752,1005,394655,1
486768752,1003,394655,1
1326399410,1004,394655,2
37270678,1006,394655,1
37270678,1007,394655,1
37270678,1008,394655,1
37270678,1009,394655,1
37270678,1010,394655,1
790444273,1011,394655,1
790444273,1004,394655,1
599556298,1001,394655,1
2869559793,1012,394655,1
85326869,1003,394655,1
85326869,1004,394655,1
1738153848,1013,394655,1
566391390,1001,394655,1
245611707,1003,394655,1
245611707,1014,394655,1
1419375638,1012,394655,2
950287297,1015,394655,1
950287297,1016,394655,1
599440137,1004,394655,1
2297273032,1017,394655,1
1015947260,1018,394655,1
1015947260,1019,394655,1
1015947260,1003,394655,1
1015947260,1020,394655,1
1015947260,1021,394655,1
567249148,1004,394655,1
1260338352,1022,394655,1
1260338352,1004,394655,1
250287854,1004,394655,1
2762943203,1001,394655,1
41883569,1012,394655,3
482263573,1023,394655,1
284835224,1024,394655,8
847352738,1004,394655,1
711275370,1001,394655,1
711275370,1004,394655,1
2541845565,1025,394655,1
838269750,1004,394655,1
838269750,1022,394655,1
2868582423,1026,394655,2
2868582423,1027,394655,2
2868582423,1028,394655,1
562261754,1001,394655,1
2151364651,1004,394655,1
1177998043,1003,394655,1
2755950668,1021,394655,1
2893490541,1029,394655,1
130564140,1004,394655,1
130564140,1030,394655,1
130564140,1031,394655,1
130564140,1032,394655,1
130564140,1033,394655,1
130564140,1034,394655,1
130564140,1035,394655,1
130564140,1036,394655,1
130564140,1037,394655,1
130564140,1038,394655,1
1163176232,1039,394655,1
205863400,1040,394655,1
189838829,1041,394655,1
48305195,1004,394655,1
2149566211,1020,394655,1
2482034033,1004,394655,1
257063764,1004,394655,4
257063764,1003,394655,1
257063764,1042,394655,1
2873012056,1003,394655,1
2873012056,1004,394655,1
2893490541,1004,394655,1
61719501,1043,394655,1
61719501,1044,394655,1
61719501,1045,394655,2
61719501,1046,394655,3
61719501,1031,394655,5
443066284,1001,394655,1
173395055,1047,394655,1
1318967298,1048,394655,1
1318967298,1049,394655,1
1318967298,1004,394655,1
1318967298,1050,394655,1
2868582423,1051,394655,1
1645107060,1004,394655,1
210873501,1004,394655,1
255280519,1052,394655,1
2203203245,1053,394655,1
2203203245,1005,394655,1
2203203245,1054,394655,1
1346566556,1055,394655,1
1346566556,1056,394655,1
1388120449,1057,394655,1
1388120449,1005,394655,2
1388120449,1004,394655,2
1388120449,1003,394655,2
907637090,1058,394655,5
498254740,1059,394655,1
51016218,1004,394655,1
494448266,1012,394655,1
2946782913,1060,394655,2
178126192,1004,394655,2
374155260,1061,394655,1
743634962,1062,394655,1
743634962,1004,394655,1
743634962,1063,394655,1
2792057151,1001,394655,1
2250406629,1004,394655,3
173966815,1003,394655,1
608343043,1064,394655,1
608343043,1065,394655,1
608343043,1066,394655,1
1400247584,1001,394655,1
169113417,1004,394655,1
225875077,1067,394655,1
455777701,1004,394655,1
455777701,1003,394655,1
351957588,1003,394655,1
1320145080,1012,394655,1
381652282,1068,394655,1
538543981,1069,394655,1
538543981,1070,394655,1
372736301,1071,394655,1
159124478,1072,394655,2
159124478,1073,394655,2
1166888352,1003,394655,1
1166888352,1004,394655,1
34636284,1074,394655,1
125048597,1075,394655,1
1448983495,1003,394655,1
1448983495,1076,394655,1
1448983495,1077,394655,1
1346566556,1078,394655,1
1346566556,1079,394655,2
30503352,1080,394655,2
30503352,1004,394655,1
991648040,1012,394655,1
2633511981,1004,394655,1
1954508112,1000,394655,1
1024097838,1004,394655,1
2412921771,1012,394655,1
1160908902,1004,394655,1
1160908902,1081,394655,1
1160908902,1082,394655,1
455989974,1083,394655,1
408641887,1003,394655,1
408641887,1084,394655,1
2347437452,1085,394655,2
796078040,1001,394655,1
35291074,1004,394655,1
606534556,1052,394655,1
357015758,1005,394655,1
790442264,1003,394655,1
790442264,1004,394655,1
1397661672,1000,394655,1
2449456474,1004,394655,1
50400280,1004,394655,1
254003619,1086,394655,1
254003619,1040,394655,1
254003619,1087,394655,1
254003619,1001,394655,1
263707054,1088,394655,3
263707054,1089,394655,3
831389006,1001,394655,1
929990017,1012,394655,1
468724970,1004,394655,1
358068123,1012,394655,1
176928210,1005,394655,1
1037479752,1090,394655,1
1315350320,1004,394655,1
993764767,1091,394655,1
77273440,1083,394655,2
281399173,1004,394655,2
263707054,1092,394655,1
2809954347,1001,394655,1
419783367,1004,394655,1
419783367,1003,394655,1
419783367,1031,394655,1
2428735563,1012,394655,1
518512750,1093,394655,1
518512750,1094,394655,1
206358752,1095,394655,2
206358752,1004,394655,2
962267946,1096,394655,1
1380526274,1004,394655,1
114073151,1097,394655,1
114073151,1098,394655,1
114073151,1099,394655,1
2562339747,1072,394655,1
557001206,1100,394655,1
557001206,1031,394655,7
1104011298,1001,394655,1
993789547,1004,394655,1
2735887984,1004,394655,1
2910735137,1004,394655,1
414312564,1012,394655,2
738612146,1101,394655,1
109831553,1003,394655,1
1446604668,1003,394655,1
1255420026,1012,394655,4
2872960499,1001,394655,1
1320859447,1003,394655,1
2297273032,1102,394655,1
2871318699,1001,394655,1
415838945,1103,394655,1
46498609,1104,394655,1
61719501,1105,394655,1
61719501,1106,394655,1
61719501,1107,394655,1
509511715,1108,394655,1
625139061,1109,394655,1
40871467,1003,394655,1
463822839,1110,394655,1
280642135,1003,394655,2
280642135,1004,394655,3
280642135,1111,394655,1
2657398300,1057,394655,1
1399378994,1112,394655,1
557001206,1113,394655,1
557001206,1114,394655,1
2330616991,1115,394655,1
2330616991,1116,394655,1
15334892,1003,394655,1
15334892,1004,394655,1
1087354826,1003,394655,1
1087354826,1117,394655,1
126077553,1057,394655,1
47314910,1004,394655,1
47314910,1118,394655,1
480752391,1119,394655,1
411706484,1005,394655,1
411706484,1120,394655,1
1339896612,1003,394655,1
61719501,1121,394655,1
61719501,1122,394655,1
2741023756,1004,394655,1
1270947816,1123,394655,1
1898486948,1004,394655,1
1219510640,1001,394655,1
1445923022,1059,394655,1
127463262,1124,394655,1
2384043368,1001,394655,1
2950469169,1125,394655,1
2874247277,1004,394655,1
415838945,1126,394655,1
114073151,1127,394655,1
114073151,1128,394655,1
114073151,1129,394655,1
2957633390,1031,394655,1
2957633390,1130,394655,1
2957633390,1131,394655,1
2335191978,1004,394655,1
444108592,1084,394655,1
25710095,1132,394655,1
257063764,1133,394655,1
1339896612,1134,394655,1
2167124735,1003,394655,1
1441826222,1004,394655,1
2888222639,1094,394655,1
61719501,1135,394655,1
61719501,1136,394655,1
1388120449,1137,394655,1
17893625,1004,394655,1
2724077721,1004,394655,1
2724077721,1057,394655,1
2442654490,1001,394655,1
2203203245,1003,394655,2
395840516,1071,394655,3
249826637,1004,394655,1
249826637,1057,394655,1
249826637,1138,394655,1
444108592,1004,394655,1
557001206,1139,394655,2
557001206,1003,394655,1
114073151,1004,394655,2
1445923022,1003,394655,1
1445923022,1057,394655,1
1445923022,1140,394655,1
2440450181,1001,394655,1
379175869,1004,394655,1
381871590,1004,394655,1
532176319,1141,394655,1
206358752,1142,394655,1
1040222730,1004,394655,1
413869975,1004,394655,1
2347437452,1004,394655,1
1416475560,1004,394655,1
280642135,1143,394655,2
91402284,1144,394655,1
222806418,1012,394655,1
222806418,1145,394655,1
222806418,1146,394655,1
309276344,1147,394655,1
114073151,1003,394655,1
114073151,1148,394655,1
51995151,1004,394655,1
51995151,1003,394655,1
82395246,1149,394655,1
61719501,1150,394655,1
497177726,1005,394655,1
617475324,1001,394655,1
252568270,1072,394655,1
633996621,1151,394655,1
2273865399,1152,394655,1
2273865399,1059,394655,1
2273865399,1153,394655,1
2273865399,1154,394655,1
2273865399,1155,394655,1
2273865399,1156,394655,1
554365454,1157,394655,1
630380621,1012,394655,1
991820946,1158,394655,1
59427044,1003,394655,1
59427044,1004,394655,1
2339249080,1001,394655,1
1905084187,1004,394655,1
1905084187,1159,394655,1
1025248777,1003,394655,1
1025248777,1004,394655,1
114073151,1160,394655,1
366227719,1012,394655,1
2515839411,1001,394655,1
133807667,1005,394655,1
133807667,1003,394655,1
133807667,1161,394655,1
61719501,1162,394655,1
61719501,1163,394655,1
2173992019,1164,394655,1
2173992019,1003,394655,1
456674560,1003,394655,1
849008977,1003,394655,1
32435981,1004,394655,1
32435981,1003,394655,1
114073151,1165,394655,1
461744768,1166,394655,1
133807667,1167,394655,1
133807667,1168,394655,1
133807667,1169,394655,1
133807667,1170,394655,1
1480278390,1052,394655,1
550224551,1171,394655,1
391938842,1003,394655,1
391938842,1004,394655,1
391938842,1172,394655,1
1430479273,1012,394655,1
173966815,1173,394655,1
125048597,1004,394655,1
84275097,1174,394655,3
84275097,1175,394655,3
84275097,1176,394655,1
61719501,1003,394655,1
61719501,1177,394655,1
61719501,1004,394655,1
84275097,1178,394655,2
221082098,1179,394655,1
921315589,1004,394655,1
741339294,1057,394655,2
251391115,1180,394655,1
2798867141,1181,394655,1
189838829,1182,394655,1
189838829,1183,394655,1
557001206,1004,394655,1
17406357,1004,394655,2
2648286075,1004,394655,1
2880009065,1004,394655,2
247855701,1184,394655,1
1259984599,1004,394655,2
367701099,1000,394655,1
2880009065,1185,394655,1
2880009065,1084,394655,1
459164069,1186,394655,1
2504373825,1187,394655,1
2416011793,1003,394655,1
257063764,1188,394655,1
142253085,1189,394655,1
928571347,1001,394655,1
553000777,1190,394655,1
17406357,1003,394655,1
412183774,1191,394655,7
412183774,1192,394655,7
412183774,1193,394655,7
1320859447,1194,394655,1
1320859447,1004,394655,1
1320859447,1195,394655,1
81806026,1004,394655,1
2267746221,1004,394655,1
2439136147,1196,394655,1
95011517,1197,394655,1
2300127457,1198,394655,2
409972882,1004,394655,2
409972882,1035,394655,1
614048040,1199,394655,1
614048040,1200,394655,1
614048040,1201,394655,1
447933316,1202,394655,1
447933316,1203,394655,1
447933316,1204,394655,1
447933316,1003,394655,1
369574829,1205,394655,1
369574829,1004,394655,1
369574829,1005,394655,1
369574829,1062,394655,1
369574829,1206,394655,1
369574829,1207,394655,1
369574829,1208,394655,1
114073151,1209,394655,1
1148511200,1210,394655,1
442993267,1211,394655,1
316353901,1212,394655,1
316353901,1213,394655,1
316353901,1030,394655,1
316353901,1003,394655,1
738612146,1021,394655,1
701426024,1003,394655,1
701426024,1004,394655,1
701426024,1214,394655,1
1020807408,1215,394655,1
1020807408,1216,394655,1
46335488,1003,394655,1
46335488,1217,394655,1
46335488,1083,394655,1
2877731739,1021,394655,1
741339294,1001,394655,1
741339294,1004,394655,1
395840516,1012,394655,1
2295860373,1218,394655,1
2295860373,1219,394655,1
2295860373,1220,394655,1
555648525,1012,394655,1
164784647,1180,394655,1
114073151,1221,394655,1
9286102,1004,394655,1
1145613511,1222,394655,1
2580421444,1223,394655,3
1192745790,1224,394655,1
882999224,1004,394655,1
257063764,1225,394655,1
414312564,1180,394655,1
942216026,1004,394655,2
258868024,1052,394655,1
2580421444,1226,394655,1
489408915,1003,394655,1
2957633390,1030,394655,2
2957633390,1227,394655,1
2356878081,1004,394655,1
1598797500,1228,394655,1
1598797500,1229,394655,1
189838829,1230,394655,1
189838829,1231,394655,1
2645228794,1232,394655,1
2645228794,1233,394655,1
2645228794,1234,394655,1
2645228794,1235,394655,1
2645228794,1236,394655,1
2645228794,1237,394655,1
2645228794,1238,394655,1
280642135,1239,394655,1
98345326,1240,394655,1
266504580,1012,394655,1
2295860373,1241,394655,1
1280094536,1242,394655,1
1280094536,1243,394655,1
29200354,1004,394656,1
2250406629,1003,394656,2
39580472,1244,394656,1
1296726158,1001,394656,1
1858736250,1004,394656,1
1858736250,1245,394656,1
1052769144,1001,394656,1
210873501,1246,394656,1
210873501,1247,394656,1
2345176772,1072,394656,2
2345176772,1248,394656,2
1645107060,1249,394656,3
819413648,1250,394656,1
1409965466,1012,394656,1
507915572,1004,394656,1
1416475560,1251,394656,1
2163722100,1062,394656,1
2163722100,1004,394656,1
2163722100,1003,394656,1
2300127457,1020,394656,1
581788973,1252,394656,1
581788973,1253,394656,1
581788973,1254,394656,1
581788973,1255,394656,1
599630891,1256,394656,1
139978677,1004,394656,1
139978677,1003,394656,1
139978677,1031,394656,1
610724205,1257,394656,1
2946782913,1060,394656,1
344996490,1258,394656,1
344996490,1259,394656,1
344996490,1003,394656,1
484358669,1004,394656,1
511916392,1008,394656,1
511916392,1260,394656,1
485812555,1012,394656,1
1645107060,1261,394656,1
1645107060,1262,394656,1
1645107060,1263,394656,1
1645107060,1264,394656,1
2645228794,1188,394656,1
2645228794,1265,394656,1
2645228794,1266,394656,1
2645228794,1232,394656,2
1445923022,1267,394656,2
2359480949,1001,394656,1
64538632,1228,394656,1
610724205,1268,394656,1
2755583294,1004,394656,1
2580421444,1012,394656,1
64538632,1003,394656,2
76963829,1003,394656,1
294183018,1004,394656,1
294183018,1005,394656,1
294183018,1003,394656,1
294183018,1269,394656,1
294183018,1270,394656,1
411324399,1215,394656,1
423686912,1052,394656,1
1645107060,1271,394656,1
122351821,1272,394656,1
122351821,1273,394656,1
122351821,1274,394656,1
122351821,1275,394656,1
122351821,1276,394656,1
122351821,1277,394656,1
122351821,1278,394656,1
38878699,1279,394656,1
38878699,1280,394656,1
38878699,1003,394656,1
38878699,1281,394656,1
284835224,1024,394656,1
495946370,1282,394656,1
495008466,1283,394656,1
629177165,1071,394656,1
581788973,1215,394656,5
461744768,1284,394656,1
461744768,1285,394656,1
461744768,1286,394656,1
461744768,1287,394656,1
1918006016,1012,394656,1
2390023219,1288,394656,1
2390023219,1004,394656,1
142253085,1289,394656,1
281399173,1004,394656,4
255280519,1290,394656,1
566504452,1291,394656,1
302862030,1012,394656,1
544647199,1004,394656,1
544647199,1035,394656,1
1215056072,1005,394656,1
473271570,1292,394656,1
1507206636,1210,394656,1
126203566,1004,394656,1
306426556,1003,394656,1
96624523,1004,394656,1
286038975,1293,394656,1
2735896440,1001,394656,1
497308909,1004,394656,1
497308909,1003,394656,1
2946782913,1294,394656,1
2946782913,1295,394656,1
495946370,1296,394656,1
483300756,1297,394656,1
1339896612,1298,394656,2
114073151,1299,394656,1
43994173,1300,394656,3
43994173,1005,394656,1
221096793,1004,394656,1
221096793,1301,394656,1
221096793,1302,394656,1
116732712,1303,394656,1
116732712,1304,394656,1
116732712,1305,394656,1
116732712,1306,394656,1
2442721927,1307,394656,1
2442721927,1308,394656,1
2957633390,1031,394656,1
2957633390,1030,394656,2
581788973,1309,394656,1
461744768,1310,394656,1
221096793,1311,394656,1
581788973,1012,394656,1
2467709195,1134,394656,1
2467709195,1312,394656,1
2467709195,1313,394656,1
304130927,1314,394656,1
819413648,1012,394656,1
1320859447,1194,394656,1
1320859447,1004,394656,1
1028871038,1022,394656,1
387242541,1215,394656,1
1346566556,1315,394656,1
2850498831,1004,394656,1
629177165,1048,394656,1
2442721927,1062,394656,1
2442721927,1004,394656,1
2442721927,1316,394656,1
2850498831,1317,394656,1
1003365811,1004,394656,1
1105993933,1012,394656,1
286848478,1012,394656,1
2149566211,1318,394656,1
1449697634,1004,394656,1
1449697634,1185,394656,1
1449697634,1319,394656,1
444087668,1320,394656,1
277853749,1031,394656,5
277853749,1030,394656,5
277853749,1321,394656,5
277853749,1322,394656,6
277853749,1323,394656,2
277853749,1131,394656,5
51035146,1324,394656,1
277853749,1325,394656,3
280642135,1003,394656,3
280642135,1004,394656,3
280642135,1239,394656,1
280642135,1143,394656,3
507915572,1326,394656,1
507915572,1327,394656,1
277853749,1328,394656,1
277853749,1329,394656,1
564721530,1330,394656,1
142253085,1331,394656,1
142253085,1332,394656,1
108081147,1333,394656,1
528997295,1333,394656,1
1966477309,1004,394656,1
2670348120,1334,394656,1
228474233,1335,394656,1
228474233,1003,394656,1
228474233,1336,394656,1
293145463,1188,394656,1
293145463,1003,394656,1
2898340786,1004,394656,1
2898340786,1337,394656,1
2898340786,1119,394656,1
2580421444,1338,394656,1
460564282,1339,394656,1
1470136669,1004,394656,1
1470136669,1340,394656,1
277853749,1341,394656,1
277853749,1342,394656,1
277853749,1343,394656,1
358720481,1012,394656,2
33651748,1004,394656,1
33651748,1344,394656,1
33651748,1345,394656,1
612057186,1346,394656,1
277853749,1347,394656,1
277853749,1348,394656,1
277853749,1349,394656,2
969749971,1004,394656,1
47330308,1276,394656,1
581788973,1350,394656,1
581788973,1351,394656,1
969749971,1062,394656,1
495901014,1228,394656,1
495901014,1004,394656,1
495901014,1003,394656,1
2950469169,1004,394656,1
581788973,1004,394656,1
358720481,1352,394656,1
2950469169,1003,394656,1
562991167,1000,394656,1
272527373,1334,394656,1
610724205,1122,394656,1
610724205,1353,394656,1
590881600,1354,394657,1
291920996,1001,394657,1
280642135,1143,394657,3
280642135,1003,394657,2
280642135,1004,394657,3
610724205,1001,394657,1
2395006879,1052,394657,1
339374046,1003,394657,1
339374046,1004,394657,1
339374046,1281,394657,1
339374046,1355,394657,1
272527373,1134,394657,1
272527373,1356,394657,1
918975404,1001,394657,1
272527373,1334,394657,1
581788973,1252,394657,1
1061833260,1333,394657,1
194198767,1012,394657,1
45337486,1195,394657,2
45337486,1004,394657,2
45337486,1003,394657,2
45337486,1357,394657,2
45337486,1030,394657,2
45337486,1358,394657,2
45337486,1359,394657,2
1707058502,1003,394657,1
1481548573,1049,394657,1
497308909,1004,394657,1
48371030,1360,394657,1
48371030,1361,394657,1
48371030,1003,394657,2
1320859447,1194,394657,1
2906895682,1003,394657,1
550224551,1004,394657,1
790444273,1004,394657,1
790444273,1228,394657,1
630037674,1004,394657,1
630037674,1362,394657,1
1255420026,1001,394657,1
93257216,1363,394657,1
1710597596,1364,394657,1
1710597596,1004,394657,1
2715982960,1351,394657,2
2715982960,1365,394657,2
520723529,1003,394657,1
429332322,1062,394657,1
429332322,1366,394657,1
394148776,1004,394657,1
394148776,1071,394657,1
280642135,1367,394657,1
280642135,1368,394657,1
463822839,1369,394657,2
116732712,1370,394657,1
821737940,1012,394657,1
283741145,1371,394657,1
2782577171,1004,394657,1
255280519,1372,394657,1
164784647,1215,394657,1
402980250,1052,394657,1
1443857419,1373,394657,1
1443857419,1374,394657,1
1443857419,1375,394657,1
2319694170,1004,394657,3
2319694170,1035,394657,1
128900339,1376,394657,2
128900339,1003,394657,1
128900339,1004,394657,2
128900339,1062,394657,2
258452148,1377,394657,1
258452148,1378,394657,1
611097056,1379,394657,1
471025907,1003,394657,1
303471835,1380,394657,1
2233056823,1381,394657,1
954598897,1333,394657,1
954598897,1005,394657,1
954598897,1057,394657,1
1448983495,1382,394657,1
1448983495,1004,394657,1
1448983495,1383,394657,1
340147037,1384,394657,1
1105993933,1385,394657,1
53201996,1004,394657,1
53201996,1386,394657,1
170236302,1000,394657,1
954598897,1387,394657,1
954598897,1004,394657,1
954598897,1084,394657,1
2663334743,1004,394658,2
954598897,1022,394658,1
512410636,1388,394658,1
406576073,1003,394658,1
406576073,1087,394658,1
782719794,1023,394658,1
37187969,1389,394658,1
27143871,1057,394658,1
27143871,1005,394658,1
454343377,1005,394658,2
454343377,1390,394658,1
454343377,1391,394658,1
2808399405,1134,394658,1
482427533,1049,394658,1
482427533,1042,394658,1
482427533,1392,394658,1
482427533,1393,394658,1
482427533,1394,394658,1
584847008,1215,394658,1
584847008,1001,394658,1
2946782913,1395,394658,1
27143871,1004,394658,3
554618287,1004,394658,1
2854246390,1396,394658,1
463822839,1001,394658,1
454343377,1397,394658,1
454343377,1398,394658,1
1265853218,1399,394658,1
454343377,1400,394658,1
454343377,1401,394658,1
935801678,1333,394658,2
454343377,1402,394658,1
483208545,1063,394658,1
483208545,1004,394658,1
454343377,1403,394658,1
584215902,1215,394658,4
454343377,1404,394658,1
454343377,1405,394658,1
454343377,1406,394658,1
454343377,1407,394658,1
454343377,1408,394658,1
454343377,1409,394658,1
739322996,1000,394658,1
739322996,1004,394658,1
739322996,1003,394658,1
935801678,1410,394658,1
454343377,1042,394658,1
1141076666,1004,394658,1
93513133,1411,394658,1
93513133,1004,394658,1
287386803,1412,394658,1
509511715,1003,394658,1
2957633390,1031,394658,1
2957633390,1030,394658,1
2957633390,1131,394658,1
347906119,1413,394658,1
27143871,1003,394658,2
454343377,1414,394658,1
287386803,1415,394658,1
287386803,1416,394658,1
1212874068,1417,394658,1
1212874068,1418,394658,1
1212874068,1419,394658,1
630380621,1420,394658,1
630380621,1004,394658,1
27143871,1084,394659,1
2845399847,1004,394659,7
1470136669,1421,394659,2
631915796,1422,394659,1
631915796,1003,394659,1
631915796,1030,394659,1
631915796,1155,394659,1
631915796,1423,394659,1
631915796,1424,394659,1
631915796,1425,394659,1
631915796,1426,394659,1
631915796,1427,394659,1
631915796,1428,394659,1
935801678,1429,394659,1
935801678,1084,394659,1
935801678,1430,394659,1
274608871,1431,394659,1
274608871,1432,394659,1
274608871,1433,394659,1
429332322,1003,394659,1
429332322,1004,394659,1
509511715,1004,394659,1
27143871,1003,394659,1
1255378184,1003,394659,1
807284641,1004,394659,1
255280519,1434,394659,1
255280519,1435,394659,1
255280519,1436,394659,1
255280519,1437,394659,1
2370354752,1004,394659,1
2370354752,1438,394659,1
2370354752,1439,394659,1
2957633390,1440,394659,1
2957633390,1031,394659,1
2957633390,1030,394659,1
250249908,1004,394659,1
855250573,1441,394659,1
855250573,1442,394659,1
408719328,1000,394659,1
408719328,1228,394659,1
1603533751,1443,394659,1
1603533751,1004,394659,1
263707054,1003,394659,1
2895460257,1444,394659,1
132555466,1004,394659,1
866860638,1333,394659,1
2845399847,1004,394660,5
302226940,1443,394660,1
302226940,1004,394660,1
509511715,1004,394660,1
24391197,1181,394660,1
24391197,1022,394660,1
24391197,1004,394660,1
2845399847,1003,394660,3
396798337,1445,394660,1
1270520594,1446,394660,1
519572449,1003,394660,1
21704367,1447,394660,1
2915197727,1448,394660,1
2915197727,1449,394660,1
2915197727,1450,394660,1
1561180602,1446,394660,1
2287344225,1451,394660,1
2287344225,1452,394660,1
2287344225,1453,394660,1
2287344225,1454,394660,1
2287344225,1038,394660,1
2915197727,1455,394660,1
2957633390,1456,394660,1
1470136669,1421,394660,4
993764767,1446,394660,1
2915197727,1031,394660,1
2915197727,1457,394660,1
91564311,1188,394660,1
91564311,1004,394660,1
503144526,1458,394660,1
2964088487,1004,394660,1
2964088487,1459,394660,1
2932600671,1460,394660,1
2631777993,1461,394660,1
1080504878,1188,394660,2
1080504878,1004,394660,2
509511715,1003,394660,1
520556970,1462,394660,1
2298424226,1463,394660,1
2298424226,1464,394660,1
2298424226,1465,394660,1
448643400,1466,394660,1
448643400,1004,394660,1
2957633390,1031,394661,1
2957633390,1467,394661,1
1270520594,1468,394661,1
2367369448,1446,394661,1
1358774618,1004,394661,1
624550865,1004,394661,1
1212874068,1469,394661,1
