user,hashtag,hour,weight
1,154,445695,1
1,2716,445695,1
1,10634,445695,1
24,4207,445735,1
24,4207,445760,2
34,154,445690,1
37,145,445711,1
37,154,445711,1
43,680,445692,1
43,2345,445692,1
43,3276,445692,1
43,3387,445692,1
43,4032,445692,1
43,4762,445692,1
43,5551,445692,1
43,6368,445692,1
43,7749,445692,1
43,8063,445692,1
43,8803,445692,1
51,3728,445715,1
51,6488,445715,1
52,6535,445692,1
99,154,445694,1
99,9579,445694,1
108,400,445714,1
108,4542,445714,1
108,9644,445714,1
108,10559,445714,1
123,8607,445698,1
129,10120,445717,1
148,3815,445759,1
155,2809,445697,1
172,8195,445715,1
175,8681,445692,1
175,9262,445692,1
178,4639,445698,1
198,6458,445759,1
210,2494,445759,1
218,154,445735,1
218,4762,445735,1
218,4995,445735,1
218,9536,445735,1
218,10694,445735,1
218,11386,445735,1
221,1373,445689,1
221,4250,445689,1
224,10380,445711,1
224,10380,445758,1
226,1475,445758,1
226,3649,445758,1
226,3815,445758,1
226,7693,445758,1
234,154,445734,1
244,2944,445699,1
265,2881,445690,1
265,3076,445690,1
265,4639,445690,1
265,5863,445690,1
265,6237,445690,1
265,6995,445690,1
272,9262,445700,1
275,4729,445703,1
293,722,445702,1
293,4706,445702,1
293,10120,445702,1
294,1316,445714,1
294,9138,445714,1
316,3401,445715,1
316,9262,445715,1
340,10869,445716,1
346,5918,445714,1
348,3401,445736,1
348,9183,445736,1
353,6538,445702,1
353,7100,445702,1
371,4445,445701,1
371,5671,445701,1
371,10218,445701,1
381,7132,445691,1
381,8062,445691,1
381,9262,445691,1
388,6553,445696,1
421,9138,445689,1
431,4639,445698,1
431,5858,445698,1
436,2343,445694,1
453,154,445698,1
459,9188,445701,1
461,5028,445736,1
461,6784,445736,1
461,8219,445736,1
461,9262,445736,1
475,1194,445714,5
475,5517,445714,5
475,8941,445714,5
487,2911,445736,1
510,154,445703,1
510,2809,445703,1
510,3871,445703,1
510,3956,445703,1
510,6995,445703,1
510,7013,445709,1
510,9579,445703,1
510,10635,445709,1
544,7509,445706,1
551,1164,445700,1
551,2064,445700,1
551,4639,445700,1
551,6583,445700,1
551,8588,445700,1
583,3401,445710,1
583,9262,445710,1
588,57,445715,1
601,5396,445736,1
613,7285,445702,1
622,8835,445694,1
628,1396,445706,1
628,3401,445706,1
628,9262,445706,1
628,10390,445706,1
628,10421,445706,1
628,10761,445706,1
629,10120,445707,1
632,9083,445690,1
635,2809,445717,1
635,11386,445717,1
651,6423,445736,1
651,6423,445759,1
661,10248,445692,1
685,9813,445703,1
698,8219,445734,1
698,9262,445734,1
698,10893,445734,1
705,5061,445714,1
707,4639,445696,1
707,4855,445696,1
707,6532,445696,1
707,11036,445696,1
725,3246,445715,1
725,3888,445715,1
733,4639,445758,1
738,9966,445708,1
753,3401,445700,1
753,9435,445700,1
757,7087,445715,1
760,10212,445692,1
771,964,445698,1
771,6235,445698,1
777,2302,445701,1
777,2302,445714,1
777,5940,445714,1
777,6817,445701,1
777,10567,445714,1
777,11353,445701,1
777,11353,445714,1
784,6381,445713,1
794,5583,445712,1
794,9382,445712,1
797,3806,445713,1
797,6930,445713,1
797,8717,445713,1
797,8733,445713,1
797,10761,445713,1
802,1175,445692,1
802,2064,445692,1
802,2810,445692,1
802,3728,445692,1
802,5546,445692,1
802,6784,445692,1
802,7429,445692,1
802,8086,445692,1
802,8430,445692,1
802,8563,445692,1
802,8681,445692,1
802,10361,445692,1
803,71,445759,1
803,10114,445759,1
815,2096,445703,1
840,4344,445717,1
840,4813,445717,1
840,10527,445717,1
866,405,445703,1
882,3841,445691,1
882,7104,445691,1
884,154,445708,1
884,10120,445708,1
894,4639,445696,1
900,11102,445709,1
902,470,445710,2
905,4639,445692,1
905,7404,445692,1
905,7509,445692,1
923,4639,445689,1
933,3401,445702,1
933,8016,445702,1
957,7986,445706,1
965,323,445692,1
965,2590,445692,1
965,3245,445692,1
965,3981,445692,1
965,4021,445692,1
965,6784,445692,1
965,7259,445692,1
987,199,445761,1
987,3401,445761,1
1005,1649,445735,1
1005,6784,445735,1
1005,9612,445735,1
1005,10420,445735,1
1005,10449,445735,1
1007,8724,445717,1
1038,154,445705,1
1038,5521,445705,1
1060,1194,445761,1
1060,1880,445761,1
1060,10353,445761,1
1073,6514,445713,1
1077,3542,445695,1
1077,8133,445695,1
1082,912,445701,1
1082,1690,445701,1
1082,8082,445701,1
1082,11386,445701,1
1084,8220,445759,1
1091,154,445735,1
1105,2096,445761,1
1105,6877,445761,1
1105,9262,445761,1
1107,4639,445718,1
1123,5426,445718,1
1166,154,445705,1
1166,10120,445705,1
1171,7284,445690,1
1175,10120,445706,1
1177,4762,445758,1
1184,3871,445703,1
1184,9404,445703,1
1184,10185,445703,1
1184,11353,445703,1
1192,4364,445758,1
1192,4531,445758,1
1192,6423,445758,1
1193,6642,445697,1
1206,1649,445714,1
1206,8016,445714,1
1206,8220,445714,1
1206,9579,445714,1
1223,3748,445700,1
1225,1649,445702,1
1243,1731,445703,1
1258,735,445710,1
1258,2240,445710,1
1258,3401,445710,1
1258,6077,445710,1
1258,9262,445710,1
1258,9708,445710,1
1267,4036,445713,1
1273,6540,445707,1
1273,7094,445707,1
1273,10120,445707,1
1305,9931,445742,1
1327,3401,445760,1
1327,9262,445760,1
1340,3342,445705,1
1340,3342,445716,1
1340,4751,445705,1
1340,4751,445716,1
1342,777,445708,1
1342,1164,445708,1
1342,4422,445708,1
1342,4639,445708,1
1342,6535,445708,1
1342,8016,445708,1
1342,10120,445708,1
1349,5054,445690,1
1366,895,445708,1
1372,3629,445736,1
1385,154,445760,1
1385,5480,445760,1
1385,10120,445760,1
1407,5862,445717,1
1409,154,445698,1
1410,154,445690,1
1412,154,445760,1
1412,1634,445760,1
1412,2674,445760,1
1412,6784,445760,1
1412,7132,445760,1
1412,9138,445760,1
1412,9547,445760,1
1422,1649,445710,1
1431,3046,445742,1
1431,4639,445689,1
1431,8013,445689,1
1441,722,445700,1
1468,2472,445701,1
1468,3589,445701,1
1468,3890,445701,1
1468,7005,445701,1
1468,10248,445701,1
1468,11196,445701,1
1469,286,445710,1
1469,4639,445710,1
1491,154,445690,1
1491,1537,445690,1
1491,8791,445690,1
1502,1457,445712,1
1502,2973,445712,1
1502,3112,445712,1
1542,360,445692,1
1542,1480,445692,1
1542,4639,445692,1
1542,7856,445692,1
1542,8791,445692,1
1542,9138,445692,1
1542,9262,445692,1
1546,722,445710,1
1546,4639,445710,1
1546,6535,445710,1
1546,7889,445710,1
1546,8016,445710,1
1546,9262,445710,1
1546,9723,445710,1
1546,9729,445710,1
1546,10120,445710,1
1546,11135,445710,1
1547,190,445760,1
1547,2546,445760,1
1547,5518,445760,1
1547,9262,445760,1
1547,10016,445760,1
1547,10527,445760,1
1551,3638,445708,3
1575,4639,445705,1
1582,154,445691,1
1582,722,445691,1
1582,2064,445691,1
1582,3638,445691,1
1582,6205,445691,1
1582,7569,445691,1
1582,8016,445691,1
1582,8681,445691,1
1582,8791,445691,1
1582,9138,445691,1
1582,9262,445691,1
1582,11386,445691,1
1619,42,445712,1
1619,4796,445712,1
1621,699,445736,2
1621,1323,445708,1
1621,1323,445713,1
1621,1323,445716,1
1621,1323,445734,1
1621,1323,445736,3
1621,1323,445758,2
1621,2630,445716,1
1621,2716,445734,1
1621,2716,445736,3
1621,2716,445758,2
1621,3309,445736,2
1621,4104,445758,1
1621,5016,445716,1
1621,5237,445708,1
1621,5237,445713,1
1621,5237,445734,1
1621,5237,445736,3
1621,5237,445758,2
1621,8515,445758,1
1621,10918,445708,1
1621,10918,445713,1
1621,10918,445734,1
1621,10918,445736,3
1621,10918,445758,1
1639,10120,445705,1
1648,1631,445716,1
1648,9042,445716,1
1648,9262,445716,1
1651,9424,445716,1
1654,154,445759,1
1668,214,445713,1
1668,9268,445713,1
1671,1512,445698,1
1673,2445,445718,1
1673,3728,445718,1
1682,154,445700,1
1682,10120,445717,1
1699,154,445703,1
1699,3477,445703,1
1699,10001,445703,1
1702,4222,445699,1
1718,713,445690,1
1730,3276,445712,1
1730,3638,445712,1
1730,9262,445712,1
1741,2809,445698,1
1769,154,445690,1
1772,1094,445692,1
1772,1094,445696,1
1772,1094,445700,1
1774,787,445734,1
1774,1353,445734,1
1795,10258,445698,1
1802,154,445758,1
1802,7302,445758,1
1819,1162,445742,1
1822,154,445690,1
1830,3401,445700,1
1830,4313,445700,1
1830,7862,445700,1
1830,9262,445700,1
1832,2309,445691,1
1832,4918,445691,1
1832,8035,445691,1
1848,154,445716,1
1849,560,445704,1
1865,722,445696,1
1865,8681,445696,1
1875,9271,445690,1
1875,10195,445690,1
1875,10195,445693,1
1875,10681,445693,1
1877,1861,445717,1
1883,8331,445695,1
1897,5598,445760,1
1897,6669,445760,1
1897,8445,445760,1
1897,10751,445760,1
1898,3084,445689,1
1898,4480,445689,1
1898,6784,445689,1
1898,7074,445689,1
1898,8791,445689,1
1898,11386,445689,1
1911,10527,445701,1
1929,5681,445711,1
1929,8049,445711,1
1932,2302,445715,1
1932,3401,445715,1
1932,6535,445715,1
1932,9262,445715,1
1952,154,445736,1
1952,4344,445736,1
1952,8170,445736,1
1952,9262,445736,1
1958,6514,445704,1
1974,3049,445698,1
1983,10120,445711,1
1985,8062,445701,1
2002,154,445703,1
2003,2656,445694,1
2003,2998,445694,1
2003,9027,445694,1
2003,9249,445694,1
2003,9536,445694,1
2031,7473,445761,1
2031,8220,445761,1
2031,9262,445761,1
2042,10973,445761,1
2044,154,445735,1
2044,5465,445735,1
2044,8016,445735,1
2044,9262,445735,1
2044,9949,445735,1
2044,10120,445735,1
2048,4762,445702,1
2137,5185,445696,1
2139,3484,445708,1
2139,4324,445708,1
2139,8057,445708,1
2142,506,445710,1
2142,3342,445710,1
2144,154,445696,1
2144,154,445698,1
2144,8791,445696,1
2169,2136,445696,1
2169,4480,445696,1
2171,3136,445689,1
2176,781,445734,1
2176,4344,445734,1
2176,9262,445734,1
2176,10120,445734,1
2178,9083,445704,1
2189,2545,445715,1
2191,154,445735,1
2191,4344,445735,1
2191,7569,445735,1
2191,10120,445735,1
2191,10527,445735,1
2191,11386,445735,1
2192,4562,445716,1
2192,9262,445716,1
2197,10396,445706,1
2226,4511,445714,1
2234,4751,445697,1
2255,6535,445706,1
2255,10120,445716,1
2269,9083,445696,1
2269,9103,445696,1
2269,11264,445696,1
2293,1164,445718,1
2295,2615,445709,1
2309,722,445693,1
2312,4639,445694,1
2317,3728,445701,1
2317,4639,445701,1
2351,154,445742,1
2353,10508,445691,1
2356,3815,445760,1
2358,3844,445761,1
2360,3606,445696,1
2385,353,445760,1
2388,9138,445692,1
2396,154,445716,1
2396,722,445716,1
2396,3871,445716,1
2403,7854,445696,1
2410,8941,445703,1
2415,154,445703,1
2416,3401,445734,2
2416,6845,445759,1
2416,10114,445759,1
2416,10527,445734,2
2419,4492,445704,1
2435,1194,445717,1
2455,4639,445696,1
2457,1703,445698,1
2457,2096,445698,1
2457,2545,445698,1
2457,2809,445698,1
2457,6475,445698,1
2466,154,445691,1
2514,7751,445698,1
2529,722,445704,1
2531,8062,445696,1
2568,1649,445713,1
2576,9086,445717,1
2603,3461,445696,1
