user,hashtag,hour
623087851,16283,394673
293161420,5421,394673
915634556,16892,394673
1239175064,4447,394673
2968071675,4447,394673
2968071675,16655,394673
2793816121,6849,394673
710820930,4447,394673
710820930,17042,394673
800883264,4447,394673
800883264,1811,394673
800883264,5790,394673
169460503,842,394673
114073151,16306,394673
28354671,12828,394673
570809350,15596,394673
570809350,1811,394673
205863400,15664,394673
205863400,15926,394673
144175082,7368,394673
2800093805,4447,394673
2800093805,4283,394673
2800093805,16890,394673
2800093805,5410,394673
41883569,5170,394673
299802753,4447,394673
2808218208,11930,394673
568166810,14337,394673
59127047,10137,394673
59127047,3904,394673
59127047,1695,394673
357678095,17465,394673
357678095,7336,394673
18503976,4447,394673
311941367,16937,394673
311941367,1811,394673
89297450,7368,394673
1541325164,5172,394673
52054932,2303,394673
52054932,16862,394673
52054932,1811,394673
1488384222,422,394673
822053700,14334,394673
18503976,4447,394673
276927029,1811,394673
1047762673,15596,394673
9286102,1811,394673
9286102,4447,394673
263884623,4447,394673
862791187,1811,394673
2370843367,4447,394673
822053700,5170,394673
2275086535,7368,394673
2224769241,4447,394673
35328409,13641,394673
312024587,2303,394673
52054932,16862,394673
52054932,1483,394673
52054932,2303,394673
1234866218,1744,394673
167348641,14022,394673
167348641,14738,394673
2748199539,2275,394673
18503976,7368,394673
634073253,14062,394673
634073253,15596,394673
42480685,9487,394673
320663460,17419,394673
320663460,5401,394673
320663460,6126,394673
320663460,9917,394673
320663460,1939,394673
320663460,2237,394673
398197893,4447,394673
398197893,11534,394673
401546242,8562,394673
144188800,9581,394673
60916474,6854,394673
1610067109,4447,394673
276927029,15148,394673
276927029,10220,394673
276927029,7368,394673
207901468,17512,394673
303959597,2141,394673
303959597,3361,394673
303959597,842,394673
199676135,4447,394673
199676135,10831,394673
1579958106,1811,394673
1579958106,15223,394673
1493172554,228,394673
1080504878,4447,394673
2186238001,4447,394673
35328409,4447,394673
35328409,3271,394673
35328409,1811,394673
482492371,15523,394673
482492371,15366,394673
482492371,13241,394673
482492371,10902,394673
482492371,15741,394673
482492371,15223,394673
482492371,16664,394673
482492371,12900,394673
482492371,15500,394673
570809350,15596,394673
242888142,3271,394673
242888142,7368,394673
242888142,16664,394673
450646893,15596,394673
450646893,4447,394673
2194380549,4447,394673
2194380549,15389,394673
2411118586,13974,394673
570809350,15596,394673
189854391,2940,394673
189854391,16024,394673
189854391,10403,394673
1510112354,2188,394673
25070574,11849,394674
1920502987,6480,394674
65317125,1794,394674
49424478,1572,394674
49424478,6849,394674
49424478,4447,394674
205863400,15664,394674
2664127044,14075,394674
1299571837,7368,394674
299011836,12717,394674
299011836,7368,394674
299011836,4447,394674
299011836,15596,394674
2288565137,1811,394674
2288565137,6396,394674
2288565137,10220,394674
1674045481,5175,394674
82086680,11556,394674
106509870,15896,394674
91759076,1811,394674
1674045481,14337,394674
572759226,7782,394674
2275086535,7368,394674
79960318,549,394674
106509870,15896,394674
456095785,2307,394674
456095785,10220,394674
456095785,15148,394674
456095785,10053,394674
569181554,5170,394674
189854391,15598,394674
613275074,7710,394674
613275074,7368,394674
1396770006,3316,394674
613275074,3420,394674
613275074,2817,394674
522182935,7708,394674
522182935,1811,394674
522182935,422,394674
2335191978,17405,394674
2335191978,7836,394674
760527547,4447,394674
89453633,5394,394674
288454874,1811,394674
57046171,6146,394674
1239175064,4447,394674
49089291,2303,394674
6482112,15223,394674
6482112,17100,394674
6482112,1811,394674
2210540498,1811,394674
2210540498,490,394674
2210540498,14710,394674
1488384222,15596,394674
315984282,4447,394674
394327893,10220,394674
599362457,9804,394674
599362457,8158,394674
163999986,4165,394674
276927029,10220,394674
276927029,15148,394674
16363552,15596,394674
1268046530,15687,394674
327339071,4447,394674
327339071,2954,394674
89297450,4447,394674
2275086535,4214,394674
50832562,15596,394674
509511715,8297,394674
800883264,5790,394674
800883264,4447,394674
800883264,1811,394674
315984282,15011,394674
315984282,5160,394674
238511696,16284,394674
81238214,15522,394674
482492371,16664,394674
482492371,12900,394674
482492371,15523,394674
482492371,10902,394674
482492371,15366,394674
482492371,13241,394674
482492371,15741,394674
482492371,15223,394674
482492371,15500,394674
8878442,16754,394674
270838009,5170,394674
545799320,4447,394674
545799320,15706,394674
970299846,1811,394674
970299846,724,394674
970299846,5170,394674
1037479752,9573,394674
426026032,12945,394674
426026032,12991,394674
570552536,4447,394674
570552536,564,394674
570552536,1811,394674
332225362,4447,394674
332225362,6478,394674
581788973,14988,394674
315984282,4447,394674
533075360,10220,394674
533075360,842,394674
533075360,4447,394674
1076082146,7407,394674
293161420,7368,394674
293161420,422,394674
437261550,1229,394674
437261550,1766,394674
437261550,1811,394674
1470136669,5170,394674
960097554,3913,394674
1954508112,422,394674
1954508112,7368,394674
741086282,15596,394674
741086282,4447,394674
741086282,7368,394674
276927029,10220,394674
189854391,11556,394674
189854391,15904,394674
545799320,4447,394674
226578237,4447,394674
2314915515,4447,394674
2915197727,11328,394674
16363552,15596,394674
1240626438,16263,394674
2500238699,12741,394674
2777553130,4447,394674
572634122,5756,394674
406513507,9400,394674
1388120449,4447,394674
257063764,1811,394674
257063764,4447,394674
1052693192,4447,394674
2886669730,4447,394674
2886669730,13505,394674
2886669730,842,394674
1359098635,16677,394674
1248706165,7206,394674
381681276,16158,394674
381681276,12225,394674
381681276,4447,394674
381681276,1740,394674
571714677,4447,394674
545799320,4447,394674
35328409,4447,394674
35328409,10248,394674
35328409,3271,394674
2792613395,15596,394674
2792613395,5070,394674
1388120449,10220,394674
495946370,6173,394674
1247415704,16639,394674
270081080,1811,394674
270081080,724,394674
1239175064,4447,394674
16363552,15596,394674
2767072467,14198,394674
91564311,15148,394674
91564311,10220,394674
91564311,4447,394674
2868582423,10220,394674
2868582423,10248,394674
2868582423,15596,394674
2659288343,1811,394674
1163250104,1811,394674
1163250104,6933,394674
1163250104,15755,394674
1163250104,4447,394674
1163250104,12628,394674
563159409,4447,394674
563159409,8839,394674
563159409,6718,394674
1289231340,3978,394674
35328409,13641,394674
35328409,3271,394674
35328409,10262,394674
1037479752,2435,394674
604512025,7522,394674
604512025,3461,394674
604512025,12711,394674
604512025,3271,394674
604512025,10213,394674
604512025,3655,394674
604512025,12449,394674
604512025,2923,394674
2885446857,4447,394674
2858442870,4059,394674
604512025,3270,394674
604512025,3461,394674
604512025,10213,394674
604512025,12711,394674
604512025,7522,394674
604512025,12449,394674
604512025,3655,394674
604512025,2923,394674
902353068,2303,394674
902353068,7710,394674
94610168,5170,394674
571678758,15148,394674
604512025,3461,394674
604512025,10213,394674
604512025,12711,394674
604512025,2923,394674
604512025,7522,394674
604512025,12449,394674
604512025,3270,394674
604512025,3655,394674
173284224,841,394674
173284224,12348,394674
2815837324,4447,394674
2815837324,7403,394674
571714677,4447,394674
2966008199,4447,394674
604512025,10213,394674
604512025,3461,394674
604512025,3891,394674
604512025,3655,394674
604512025,12449,394674
604512025,7522,394674
604512025,2923,394674
604512025,3270,394674
73718068,16870,394674
73718068,3271,394674
73718068,7368,394674
73718068,16867,394674
73718068,16871,394674
1142986550,16267,394674
22475342,13662,394674
114592644,13662,394674
320759928,724,394674
320759928,4447,394674
320759928,3271,394674
2699673749,17251,394674
495314645,5756,394674
2241031368,1835,394674
35328409,13641,394674
536436626,14334,394674
257197702,9729,394674
257197702,16969,394674
320759928,1811,394674
320759928,4447,394674
320759928,6849,394674
50878333,15596,394674
50878333,4447,394674
50878333,5070,394674
1413247374,13156,394674
91564311,10220,394674
91564311,4447,394674
75654722,842,394674
542059340,14018,394674
542059340,1811,394674
546055990,14334,394674
518700100,15845,394674
518700100,12717,394674
