h1,h2,hour,weight
1,3328,394767,1
1,3338,394767,1
1,5100,394767,1
1,6927,394767,1
1,8986,394767,1
1,15771,394767,1
2,9471,394683,1
3,809,394683,1
5,291,394689,1
5,461,394689,1
5,2137,394689,1
6,1266,394723,1
6,1811,394723,1
6,4791,394723,1
7,8381,394726,1
9,2377,394745,1
10,4798,394701,1
10,4897,394701,1
10,7368,394701,1
11,1082,394679,1
13,15386,394777,1
14,17,394724,1
14,17,394725,1
14,18,394725,1
14,570,394721,1
14,580,394721,1
14,1481,394721,1
14,1744,394724,1
14,1744,394793,1
14,1790,394725,1
14,1794,394721,1
14,1794,394722,1
14,1794,394724,1
14,1811,394706,1
14,1811,394720,1
14,1811,394721,1
14,1811,394722,4
14,1811,394723,1
14,1811,394724,2
14,1811,394725,1
14,1840,394720,1
14,1938,394793,1
14,1954,394725,1
14,1993,394726,1
14,2063,394725,1
14,2463,394722,1
14,2465,394722,1
14,3125,394724,1
14,3146,394793,1
14,3271,394727,1
14,3665,394723,1
14,3667,394723,1
14,3904,394724,1
14,4218,394721,1
14,4383,394725,1
14,4394,394721,1
14,4447,394706,1
14,4447,394720,2
14,4447,394721,7
14,4447,394722,6
14,4447,394723,6
14,4447,394724,5
14,4447,394725,4
14,4447,394726,3
14,4447,394728,1
14,4447,394729,1
14,4447,394731,1
14,4447,394740,1
14,4469,394722,1
14,4520,394724,1
14,4529,394724,1
14,4547,394721,1
14,4560,394721,1
14,4560,394724,1
14,4791,394721,2
14,4791,394722,2
14,4791,394727,1
14,4965,394706,1
14,5228,394724,1
14,5228,394725,1
14,5264,394721,1
14,5600,394724,1
14,5786,394723,1
14,5998,394725,1
14,6031,394722,1
14,6034,394722,1
14,6034,394724,1
14,6034,394730,1
14,6047,394718,1
14,6047,394721,2
14,6047,394722,7
14,6047,394723,3
14,6047,394724,2
14,6047,394725,2
14,6047,394726,1
14,6047,394727,1
14,6047,394731,1
14,6047,394738,1
14,6051,394721,1
14,6052,394706,1
14,6052,394720,2
14,6052,394722,2
14,6052,394723,2
14,6052,394724,2
14,6052,394725,1
14,6052,394793,1
14,6054,394721,1
14,6054,394722,1
14,6396,394724,1
14,6820,394725,1
14,6849,394722,1
14,6849,394724,1
14,6849,394725,1
14,6849,394730,1
14,6849,394740,1
14,6854,394725,1
14,6863,394725,1
14,6882,394718,1
14,6961,394723,1
14,7152,394721,1
14,7368,394721,2
14,7368,394722,3
14,7368,394723,1
14,7368,394724,1
14,7380,394724,1
14,7394,394740,1
14,7416,394721,1
14,7428,394721,1
14,7491,394740,1
14,7615,394725,1
14,7674,394724,1
14,8275,394722,1
14,8817,394727,1
14,8989,394722,1
14,9134,394706,1
14,9134,394723,1
14,9725,394721,1
14,9728,394724,1
14,9739,394725,1
14,9827,394721,1
14,9828,394721,1
14,9871,394793,1
14,10061,394724,1
14,10132,394793,1
14,10220,394724,1
14,10372,394724,1
14,11000,394728,1
14,11148,394718,1
14,11556,394722,1
14,12494,394728,1
14,12717,394724,2
14,12717,394728,1
14,13256,394721,1
14,13636,394725,1
14,13662,394722,1
14,13662,394725,1
14,13746,394721,1
14,13994,394723,1
14,14197,394721,1
14,14203,394721,1
14,14307,394724,1
14,14421,394722,1
14,14448,394723,1
14,14458,394721,1
14,14458,394722,1
14,14491,394728,1
14,15223,394724,1
14,15223,394725,1
14,15604,394728,1
14,15755,394721,1
14,17154,394724,1
14,17403,394721,1
15,556,394726,1
15,1794,394725,1
15,1795,394726,1
15,1811,394725,1
15,1811,394726,2
15,1811,394727,1
15,2359,394725,1
15,3171,394725,1
15,3271,394726,1
15,3665,394725,1
15,4306,394725,1
15,4447,394723,2
15,4447,394725,2
15,4447,394726,1
15,4447,394728,2
15,4447,394729,1
15,5600,394725,1
15,5790,394723,1
15,6047,394725,1
15,6047,394726,1
15,6052,394726,1
15,6052,394727,1
15,6095,394741,1
15,6389,394723,1
15,6389,394725,1
15,6665,394726,1
15,6718,394728,1
15,6718,394729,1
15,6849,394726,1
15,6849,394729,1
15,6849,394743,1
15,6873,394728,1
15,7134,394725,1
15,8069,394728,1
15,8069,394729,1
15,8181,394725,1
15,8354,394727,1
15,11666,394726,1
15,12582,394728,1
15,12640,394728,1
15,12747,394773,1
15,13713,394773,1
15,14185,394728,1
15,14197,394773,1
15,14956,394727,1
15,16383,394726,1
16,22,394719,1
16,1794,394719,1
16,5828,394719,1
17,18,394722,1
17,18,394725,1
17,22,394722,1
17,23,394721,1
17,228,394742,1
17,294,394727,1
17,789,394721,1
17,842,394702,1
17,982,394722,1
17,993,394723,1
17,1266,394721,1
17,1268,394723,1
17,1362,394726,1
17,1522,394722,1
17,1525,394742,1
17,1744,394721,1
17,1744,394722,1
17,1744,394723,1
17,1744,394724,1
17,1744,394725,1
17,1794,394694,1
17,1811,394702,1
17,1811,394722,1
17,1811,394723,2
17,1811,394724,1
17,1811,394726,2
17,1811,394727,1
17,1811,394728,1
17,2059,394726,1
17,2063,394725,1
17,2303,394702,1
17,2390,394726,1
17,2758,394720,1
17,3164,394749,1
17,3271,394721,1
17,3271,394723,1
17,3271,394726,1
17,3272,394726,2
17,3324,394726,1
17,3420,394702,1
17,3674,394702,1
17,3976,394721,1
17,4394,394723,1
17,4394,394726,1
17,4447,394694,1
17,4447,394702,1
17,4447,394720,2
17,4447,394721,4
17,4447,394722,3
17,4447,394723,12
17,4447,394724,4
17,4447,394725,2
17,4447,394726,8
17,4447,394727,4
17,4447,394729,2
17,4447,394730,1
17,4447,394731,1
17,4447,394734,1
17,4447,394738,1
17,4447,394749,1
17,4520,394726,1
17,4798,394721,1
17,4798,394724,1
17,5228,394721,1
17,5228,394724,2
17,5228,394725,1
17,5343,394702,1
17,5473,394742,1
17,5600,394726,1
17,5601,394702,1
17,5786,394722,1
17,5998,394722,1
17,5998,394731,1
17,6013,394742,1
17,6029,394726,1
17,6034,394721,1
17,6034,394726,1
17,6034,394731,1
17,6047,394721,4
17,6047,394722,3
17,6047,394723,6
17,6047,394724,3
17,6047,394725,3
17,6047,394726,1
17,6047,394727,1
17,6047,394728,1
17,6047,394729,1
17,6047,394731,1
17,6047,394738,1
17,6047,394742,1
17,6052,394722,1
17,6052,394723,2
17,6052,394724,1
17,6052,394725,1
17,6376,394702,1
17,6600,394726,1
17,6665,394720,1
17,6807,394723,1
17,6820,394723,1
17,6820,394726,1
17,6849,394723,4
17,6854,394723,1
17,6863,394723,1
17,6873,394725,1
17,6873,394728,1
17,6973,394702,1
17,7368,394694,1
17,7368,394721,1
17,7368,394723,1
17,7368,394725,1
17,7368,394729,1
17,7380,394724,1
17,7387,394721,1
17,7568,394729,1
17,7614,394723,1
17,7614,394731,1
17,8069,394694,1
17,8181,394723,1
17,8192,394724,1
17,8842,394725,1
17,9533,394721,1
17,9728,394726,1
17,10061,394724,1
17,10220,394702,1
17,10248,394735,1
17,10297,394721,1
17,10373,394721,1
17,10430,394746,1
17,10499,394729,1
17,10763,394724,1
17,11091,394722,1
17,11556,394720,1
17,12051,394694,1
17,12717,394722,1
17,12717,394726,1
17,12740,394721,1
17,12747,394724,1
17,13143,394724,1
17,13182,394722,1
17,13651,394726,1
17,13662,394721,1
17,13662,394725,1
17,13662,394726,1
17,13662,394729,1
17,13713,394726,1
17,14185,394723,1
17,14190,394726,1
17,14197,394721,1
17,14289,394726,1
17,14448,394726,1
17,14459,394720,1
17,14461,394723,1
17,14759,394726,1
17,14859,394727,1
17,15068,394737,1
17,15223,394720,1
17,15223,394721,1
17,15223,394726,1
17,15223,394727,1
17,15703,394737,1
17,15833,394720,1
17,15833,394722,2
17,15833,394723,1
17,15966,394726,1
17,16496,394729,1
17,17020,394729,1
17,17174,394727,1
17,17411,394726,1
17,17447,394721,1
18,20,394727,1
18,664,394727,1
18,1362,394724,1
18,1483,394721,1
18,1783,394728,1
18,1811,394721,1
18,1811,394724,1
18,1811,394725,1
18,1811,394726,1
18,1811,394727,2
18,1811,394737,1
18,1811,394742,1
18,2063,394725,1
18,2331,394726,1
18,2766,394725,1
18,2884,394725,1
18,3110,394726,1
18,3125,394726,1
18,3271,394725,1
18,3271,394726,2
18,3272,394726,1
18,3890,394722,1
18,4447,394721,1
18,4447,394722,3
18,4447,394724,3
18,4447,394725,2
18,4447,394726,2
18,4447,394727,1
18,4447,394728,4
18,4447,394729,1
18,4447,394737,1
18,4447,394745,1
18,4447,394760,1
18,4447,394765,1
18,4670,394724,1
18,4670,394729,1
18,4756,394726,1
18,4798,394742,1
18,5052,394728,1
18,5228,394725,2
18,5600,394722,1
18,5600,394726,1
18,5731,394724,1
18,5786,394722,1
18,6025,394725,1
18,6034,394721,1
18,6047,394721,1
18,6047,394722,2
18,6047,394723,1
18,6047,394724,1
18,6047,394725,2
18,6047,394726,1
18,6047,394728,1
18,6047,394737,1
18,6052,394721,1
18,6052,394724,1
18,6052,394725,2
18,6052,394728,1
18,6058,394724,1
18,6191,394726,1
18,6849,394726,1
18,6849,394727,2
18,6849,394728,1
18,6849,394737,1
18,6852,394726,1
18,6854,394726,1
18,6873,394722,1
18,6873,394724,1
18,7368,394725,1
18,7368,394726,1
18,7828,394726,1
18,7954,394723,1
18,8069,394726,1
18,8181,394725,1
18,8354,394726,1
18,8824,394727,1
18,8839,394724,1
18,9009,394728,1
18,9739,394725,1
18,9739,394726,1
18,10049,394726,1
18,10197,394726,1
18,11576,394729,1
18,12031,394724,1
18,12108,394747,1
18,12132,394747,1
18,12226,394747,1
18,12366,394725,1
18,12582,394724,1
18,12714,394724,1
18,13159,394727,1
18,13162,394737,1
18,13162,394742,1
18,13186,394726,1
18,13994,394765,1
18,14185,394728,1
18,14190,394722,1
18,14345,394747,1
18,14448,394742,1
18,14461,394725,1
18,14461,394726,1
18,14951,394728,1
18,14967,394728,1
18,15189,394747,1
18,15581,394765,1
18,16268,394722,1
18,16815,394724,1
18,16820,394724,1
18,16821,394724,1
18,17447,394726,1
20,664,394727,1
20,1794,394729,1
20,1811,394727,1
20,4447,394727,1
20,6849,394727,1
20,8824,394727,1
20,11602,394729,1
21,4798,394721,1
21,6047,394721,1
22,1794,394719,2
22,3593,394719,1
22,4447,394719,1
22,4447,394722,1
22,5828,394719,1
22,11918,394719,1
22,14418,394719,1
23,10297,394721,1
23,13662,394721,1
24,3761,394739,1
25,1811,394677,1
25,2303,394677,1
25,4447,394677,1
25,6396,394677,1
25,7678,394677,1
25,7932,394677,1
25,10220,394677,1
25,15596,394677,1
27,8228,394777,1
31,4200,394787,1
31,10491,394787,1
31,15874,394787,1
33,527,394754,1
33,1880,394754,1
33,2133,394754,1
33,2462,394754,1
33,3271,394754,1
33,3926,394754,1
33,5175,394754,1
33,5222,394754,1
33,5313,394754,1
33,5722,394754,1
33,5726,394754,1
33,5931,394754,1
33,7333,394754,1
33,7362,394754,1
33,7368,394754,1
33,7495,394754,1
33,9516,394754,1
33,11156,394754,1
33,11615,394754,1
33,11970,394754,1
33,14300,394754,1
33,14337,394754,1
35,4447,394717,1
35,5594,394717,1
35,6047,394717,1
35,8838,394717,1
37,118,394763,1
39,15011,394706,1
40,10207,394718,1
40,11145,394726,1
42,1811,394763,1
42,1811,394777,1
42,1811,394786,1
42,1811,394789,1
42,1811,394794,1
42,4447,394768,1
43,79,394748,1
43,3782,394748,1
43,10556,394748,1
43,10558,394748,1
45,46,394716,1
45,47,394716,1
46,47,394716,1
48,2959,394719,1
48,4447,394719,1
48,7324,394719,1
48,10197,394719,1
48,10296,394719,1
50,795,394704,1
50,2180,394704,1
50,3053,394704,1
50,5274,394704,1
50,9584,394704,1
50,10951,394704,1
50,11114,394704,1
50,11428,394704,1
50,11825,394704,1
50,14509,394704,1
50,14513,394704,1
50,14649,394704,1
50,14861,394704,1
50,15808,394704,1
50,16143,394704,1
50,16705,394704,1
51,220,394751,1
51,1200,394751,1
51,3188,394751,1
51,6824,394751,1
51,10984,394751,1
51,12009,394751,1
51,12214,394751,1
51,13549,394751,1
51,13602,394751,1
51,14000,394751,1
51,15675,394751,1
51,16573,394751,1
51,16705,394751,1
51,16717,394751,1
51,16791,394751,1
52,4447,394704,1
52,4447,394724,1
52,4447,394745,1
52,4447,394777,1
53,164,394777,1
53,12124,394777,1
54,5351,394677,1
55,1811,394773,1
55,5160,394773,1
55,11060,394773,1
55,11083,394773,1
55,11506,394773,1
55,12147,394773,1
55,12929,394773,1
55,15676,394773,1
55,16819,394773,1
55,16943,394773,1
55,17024,394773,1
56,3584,394700,1
57,1811,394769,1
57,12118,394769,1
57,12737,394769,1
57,12985,394769,1
57,13286,394769,1
57,15252,394769,1
58,2698,394718,1
58,2725,394718,1
58,3560,394718,1
58,7368,394718,1
58,9811,394718,1
59,8817,394729,1
60,1797,394751,1
60,14500,394751,1
61,8959,394752,1
63,8907,394695,1
63,9155,394695,1
64,1811,394749,1
64,4447,394749,1
64,17172,394749,1
65,453,394771,1
66,541,394700,1
66,1912,394700,1
66,3137,394700,1
67,5170,394726,1
68,14022,394708,1
69,5022,394741,1
69,10784,394741,1
69,15378,394741,1
70,3271,394726,1
70,4447,394726,1
71,4447,394774,1
71,6414,394774,1
72,932,394749,1
72,4998,394749,1
73,228,394752,1
74,11084,394786,1
74,11546,394786,1
75,5518,394753,1
75,14334,394753,1
75,15686,394753,1
76,16317,394771,1
78,3787,394736,1
79,3782,394748,1
79,10556,394748,1
79,10558,394748,1
80,3370,394730,1
80,3786,394740,1
80,3804,394730,1
80,9529,394730,1
80,10561,394730,1
80,10561,394746,1
80,10562,394730,1
80,14334,394732,1
81,14022,394777,1
82,6937,394753,1
82,9354,394753,1
82,13847,394753,1
82,14514,394753,1
82,16612,394753,1
84,2811,394731,1
84,7350,394731,1
84,7949,394731,1
84,15021,394731,1
86,1811,394678,1
87,855,394716,1
87,1955,394716,1
87,2077,394716,1
87,2636,394716,1
87,8154,394716,1
87,8929,394716,1
87,9791,394716,1
88,2522,394793,1
89,6638,394798,1
89,7821,394798,1
90,4447,394724,1
90,6034,394724,1
90,6047,394724,1
91,9402,394699,1
91,11195,394699,1
91,12677,394699,1
91,15831,394699,1
91,16990,394699,1
92,2729,394770,1
95,5861,394746,1
95,15060,394746,1
96,16800,394778,1
98,4447,394726,1
98,4670,394726,1
98,7368,394726,1
99,2071,394705,1
99,12200,394705,1
99,17037,394705,1
99,17087,394705,1
102,4447,394675,1
102,4447,394726,1
103,10022,394701,1
104,831,394795,1
104,8778,394795,1
105,14300,394776,1
106,6957,394756,1
106,10961,394756,1
106,11145,394756,1
106,12791,394756,1
106,14098,394756,1
106,14767,394756,1
106,14770,394756,1
106,16877,394756,1
106,16947,394756,1
107,4447,394717,1
107,4764,394717,1
108,13077,394681,1
110,111,394728,1
110,2470,394728,1
110,5490,394728,1
110,6191,394728,1
110,7091,394728,1
110,8351,394728,1
110,9134,394728,1
110,9336,394728,1
110,9530,394728,1
110,12660,394728,1
110,15109,394728,1
111,2470,394728,1
111,5490,394728,1
111,6191,394728,1
111,7091,394728,1
111,8351,394728,1
111,9134,394728,1
111,9336,394728,1
111,9530,394728,1
111,12660,394728,1
111,15109,394728,1
112,979,394699,1
