user hashtag hour weight
2057831 10909 429569 1
2057831 14652 429665 1
2057831 18166 429543 1
2057831 18349 429543 1
2057831 18983 429639 1
2057831 18983 429663 1
2057831 19632 429711 1
2057831 20335 429591 1
2057831 20798 429639 1
2057831 20803 429759 1
2057831 20961 429591 1
2057831 21162 429735 1
2057831 21163 429615 1
2057831 21442 429567 1
2057831 21842 429663 1
2057831 21842 429687 1
2057831 22171 429615 1
2057831 22444 429783 1
2057831 22696 429783 1
2057831 22892 429687 1
2057831 23001 429711 1
2057831 23020 429759 1
2057831 23068 429567 1
2057831 23164 429788 1
2057831 23207 429735 1
5248651 10909 429781 1
5248651 14652 429667 1
7702002 11653 429758 1
7702002 22931 429642 1
7702472 2115 429546 1
7702472 2488 429590 1
7702472 2488 429592 1
7702472 3936 429596 1
7702472 4715 429612 1
7702472 5208 429634 1
7702472 6295 429671 1
7702472 6706 429622 1
7702472 7126 429672 1
7702472 7127 429673 1
7702472 9205 429640 1
7702472 9936 429625 1
7702472 10260 429686 1
7702472 10909 429575 1
7702472 11223 429670 1
7702472 11399 429635 1
7702472 11984 429767 1
7702472 12584 429638 1
7702472 12860 429669 1
7702472 12860 429696 1
7702472 13593 429684 1
7702472 13687 429601 1
7702472 13687 429620 1
7702472 14008 429640 1
7702472 14226 429672 1
7702472 14652 429624 1
7702472 14652 429625 4
7702472 14652 429627 1
7702472 14652 429646 1
7702472 14652 429665 1
7702472 15966 429650 1
7702472 16213 429620 1
7702472 17433 429663 1
7702472 17737 429664 1
7702472 18697 429625 1
7702472 21939 429619 1
7702472 22197 429625 1
7729252 14652 429624 1
7769572 11781 429742 1
8258222 2340 429621 1
8258222 3600 429684 1
8258222 5955 429708 1
8258222 5988 429729 1
8258222 6577 429621 1
8258222 14652 429624 1
8258222 16179 429696 1
8258222 17321 429781 3
8258222 17326 429781 2
8258222 19177 429621 1
8565932 1949 429757 1
8565932 1949 429769 1
8565932 2017 429625 1
8565932 2017 429710 1
8565932 2017 429711 1
8565932 2017 429733 1
8565932 2017 429766 3
