7126 14226
7126 955 1.0
7126 7059 1.0
7126 15997
7126 8802
7126 1105 1.0
7126 1107 1.0
7126 2208 1.0
7126 2277 1.0
7126 6874 1.0
7126 7127 1.0
7126 7680 1.0
7126 8252 1.0
7126 8585 1.0
7126 10134 1.0
7126 10279 1.0
7126 12516 1.0
7126 14528 1.0
7126 15368 1.0
7126 16331 1.0
7126 16332 1.0
7126 16393 1.0
7126 3020 1.0
7126 14107 1.0
7126 11184 2.0
7126 20081 1.0
7126 4174 1.0
7126 18456 1.0
7126 15363
7126 1010 1.0
7126 2635 1.0
7126 7129 1.0
7126 9847 1.0
7126 9970 1.0
7126 10299 1.0
7126 11392 1.0
7126 12199 1.0
7126 12325 1.0
7126 12619 1.0
7126 13051 1.0
7126 13404 1.0
7126 16743 1.0
7126 17769 1.0
7126 2480 1.0
7126 2510 1.0
7126 4282 1.0
7126 6289 1.0
7126 10737 1.0
7126 18646 1.0
7126 18651 1.0
7126 18652 1.0
7126 18653 1.0
7126 18654 1.0
7126 18655 1.0
7126 18657 1.0
7126 18664 1.0
7126 18665 1.0
7126 19814 1.0
1260 8271 1.0
1260 10909 1.0
1260 12433 1.0
1260 17617 1.0
8271 10909 1.0
8271 12433 1.0
8271 17617 1.0
10909 12433 1.0
10909 17617 1.0
12433 17617 1.0
17617 12024 1.0
17617 13366 1.0
17617 14652 1.0
14018 20777
14018 14458 1.0
955 7059 1.0
14222 14458 1.0
14458 14584 1.0
14458 14652 1.0
14458 1872
14458 460 1.0
14652 14584 1.0
14652 14449
14652 12024 2.0
14652 13366 1.0
14652 5898
14652 6367 1.0
14652 6782 1.0
14652 3994 1.0
14652 10115 1.0
473 3377 1.0
473 4980 1.0
473 5031 1.0
473 8142 1.0
473 9549 1.0
473 17496 1.0
473 5301
473 9554 1.0
473 10139 1.0
473 12680 1.0
7823 18558 1.0
7823 20436 1.0
7823 23009 1.0
18558 20436 1.0
18558 23009 1.0
18558 2480 1.0
18558 18014 1.0
18558 22702 1.0
20436 23009 1.0
6289 2480 2.0
6289 14460 1.0
6289 19815 1.0
6289 2510 1.0
6289 4282 1.0
6289 10737 1.0
6289 11184 1.0
6289 18646 1.0
6289 18651 1.0
6289 18652 1.0
6289 18653 1.0
6289 18654 1.0
6289 18655 1.0
6289 18657 1.0
6289 18664 1.0
6289 18665 1.0
6289 19814 1.0
2017 11770 1.0
2017 17013 1.0
2017 2030 1.0
2017 3910 1.0
2017 9554 1.0
2017 10032 1.0
2017 10035 1.0
2017 10076 1.0
2017 16288 1.0
2017 16289 1.0
2017 16290 1.0
11770 17013 1.0
1105 1107 1.0
1105 2208 1.0
1105 2277 1.0
1105 6874 1.0
1105 7127 1.0
1105 7680 1.0
1105 8252 1.0
1105 8585 1.0
1105 10134 1.0
1105 10279 1.0
1105 12516 1.0
1105 14528 1.0
1105 15368 1.0
1105 16331 1.0
1105 16332 1.0
1105 16393 1.0
1107 2208 1.0
1107 2277 1.0
1107 6874 1.0
1107 7127 1.0
1107 7680 1.0
1107 8252 1.0
1107 8585 1.0
1107 10134 1.0
1107 10279 1.0
1107 12516 1.0
1107 14528 1.0
1107 15368 1.0
1107 16331 1.0
1107 16332 1.0
1107 16393 1.0
2208 2277 1.0
2208 6874 1.0
2208 7127 1.0
2208 7680 1.0
2208 8252 1.0
2208 8585 1.0
2208 10134 1.0
2208 10279 1.0
2208 12516 1.0
2208 14528 1.0
2208 15368 1.0
2208 16331 1.0
2208 16332 1.0
2208 16393 1.0
2277 6874 1.0
2277 7127 1.0
2277 7680 1.0
2277 8252 1.0
2277 8585 1.0
2277 10134 1.0
2277 10279 1.0
2277 12516 1.0
2277 14528 1.0
2277 15368 1.0
2277 16331 1.0
2277 16332 1.0
2277 16393 1.0
6874 7127 1.0
6874 7680 1.0
6874 8252 1.0
6874 8585 1.0
6874 10134 1.0
6874 10279 1.0
6874 12516 1.0
6874 14528 1.0
6874 15368 1.0
6874 16331 1.0
6874 16332 1.0
6874 16393 1.0
7127 7680 1.0
7127 8252 1.0
7127 8585 1.0
7127 10134 1.0
7127 10279 1.0
7127 12516 1.0
