,hora,clave_max
0,436983,18.0
1,436984,24.0
2,436985,31.0
3,436986,33.0
4,436987,32.0
5,436988,31.0
6,436989,29.0
7,436990,36.0
8,436991,35.0
9,436992,35.0
10,436993,61.0
11,436994,58.0
12,436995,32.0
13,436996,20.0
14,436997,22.0
15,436998,16.0
16,436999,41.0
17,437000,43.0
18,437001,67.0
19,437002,71.0
20,437003,51.0
21,437004,104.0
22,437005,124.0
23,437006,51.0
24,437007,29.0
25,437008,32.0
26,437009,30.0
27,437010,26.0
28,437011,40.0
29,437012,73.0
30,437013,29.0
31,437014,56.0
32,437015,45.0
33,437016,40.0
34,437017,47.0
35,437018,40.0
36,437019,38.0
37,437020,32.0
38,437021,22.0
39,437022,15.0
40,437023,46.0
41,437024,48.0
42,437025,82.0
43,437026,143.0
44,437027,150.0
45,437028,126.0
46,437029,78.0
47,437030,46.0
48,437031,54.0
49,437032,62.0
50,437033,91.0
51,437034,104.0
52,437035,37.0
53,437036,49.0
54,437037,56.0
55,437038,56.0
56,437039,54.0
57,437040,60.0
58,437041,53.0
59,437042,57.0
60,437043,46.0
61,437044,52.0
62,437045,59.0
63,437046,34.0
64,437047,28.0
65,437048,48.0
66,437049,27.0
67,437050,32.0
68,437051,36.0
69,437052,52.0
70,437053,38.0
71,437054,49.0
72,437055,41.0
73,437056,32.0
74,437057,44.0
75,437058,40.0
76,437059,59.0
77,437060,56.0
78,437061,66.0
79,437062,54.0
80,437063,57.0
81,437064,62.0
82,437065,151.0
83,437066,178.0
84,437067,124.0
85,437068,39.0
86,437069,19.0
87,437070,17.0
88,437071,28.0
89,437072,45.0
90,437073,103.0
91,437074,173.0
92,437075,157.0
93,437076,36.0
94,437077,32.0
95,437078,27.0
96,437079,22.0
