Network 	 clustering\_coeff 	 $\epsilon_{\max}$ 
436983 	 0.8451 	 0.2790 
436984 	 0.8586 	 0.2689 
436985 	 0.8578 	 0.3269 
436986 	 0.8595 	 0.3009 
436987 	 0.8684 	 0.3382 
436988 	 0.8727 	 1.5507 
436989 	 0.8535 	 0.2338 
436990 	 0.8528 	 0.2886 
436991 	 0.8645 	 0.2396 
436992 	 0.8606 	 0.2164 
436993 	 0.8587 	 0.5286 
436994 	 0.8602 	 0.6009 
436995 	 0.8523 	 0.3497 
436996 	 0.8623 	 0.1784 
436997 	 0.8556 	 0.4362 
436998 	 0.8621 	 0.3065 
436999 	 0.8772 	 0.6394 
437000 	 0.8820 	 0.5817 
437001 	 0.8780 	 0.5453 
437002 	 0.8722 	 0.5593 
437003 	 0.8811 	 0.3717 
437004 	 0.8925 	 0.6935 
437005 	 0.9023 	 0.5586 
437006 	 0.8952 	 0.4086 
437007 	 0.8625 	 0.1856 
437008 	 0.8498 	 0.3253 
437009 	 0.8394 	 0.2376 
437010 	 0.8547 	 0.2682 
437011 	 0.8705 	 0.3790 
437012 	 0.8699 	 0.5304 
437013 	 0.8761 	 0.2621 
437014 	 0.8587 	 0.3390 
437015 	 0.8449 	 0.2762 
437016 	 0.8540 	 0.1869 
437017 	 0.8585 	 0.2119 
437018 	 0.8472 	 0.2422 
437019 	 0.8567 	 0.3224 
437020 	 0.8591 	 0.3927 
437021 	 0.8416 	 0.2847 
437022 	 0.8633 	 0.2257 
437023 	 0.8943 	 0.4652 
437024 	 0.9071 	 0.4876 
437025 	 0.8865 	 0.6461 
437026 	 0.8954 	 0.6638 
437027 	 0.8919 	 0.6522 
437028 	 0.8764 	 0.6606 
437029 	 0.8750 	 0.5410 
437030 	 0.8727 	 0.4112 
437031 	 0.8618 	 0.3761 
437032 	 0.8755 	 0.6136 
437033 	 0.8770 	 0.7811 
437034 	 0.8730 	 0.6536 
437035 	 0.8595 	 0.2403 
437036 	 0.8708 	 0.2119 
437037 	 0.8758 	 0.3072 
437038 	 0.8731 	 0.2722 
437039 	 0.8675 	 0.3365 
437040 	 0.8627 	 0.2587 
437041 	 0.8599 	 0.2501 
437042 	 0.8487 	 0.3694 
437043 	 0.8354 	 0.2909 
437044 	 0.8427 	 0.4896 
437045 	 0.8544 	 0.5221 
437046 	 0.8560 	 0.3234 
437047 	 0.8721 	 0.3679 
437048 	 0.8709 	 0.5654 
437049 	 0.8634 	 0.2607 
437050 	 0.8424 	 0.2590 
437051 	 0.8530 	 0.2614 
437052 	 0.8682 	 0.4047 
437053 	 0.8596 	 0.3203 
437054 	 0.8693 	 0.3933 
437055 	 0.8651 	 0.3395 
437056 	 0.8477 	 0.2397 
437057 	 0.8492 	 0.3825 
437058 	 0.8397 	 0.4059 
437059 	 0.8513 	 0.3982 
437060 	 0.8550 	 0.2998 
437061 	 0.8629 	 0.3196 
437062 	 0.8523 	 0.3479 
437063 	 0.8507 	 0.5059 
437064 	 0.8612 	 0.8653 
437065 	 0.8646 	 0.7841 
437066 	 0.8708 	 0.7549 
437067 	 0.8662 	 0.6980 
437068 	 0.8491 	 0.4753 
437069 	 0.8436 	 0.2429 
437070 	 0.8575 	 0.4174 
437071 	 0.8796 	 0.3190 
437072 	 0.8822 	 0.3677 
437073 	 0.8884 	 0.5801 
437074 	 0.8896 	 0.7401 
437075 	 0.8703 	 0.7622 
437076 	 0.8555 	 0.3305 
437077 	 0.8570 	 0.2110 
437078 	 0.8583 	 0.2768 
437079 	 0.8518 	 0.2879 
