Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
436983 	 0.2790 	 0.2258 	 0.1585 
436984 	 0.2689 	 0.2279 	 0.1804 
436985 	 0.3269 	 0.2277 	 0.1743 
436987 	 0.3382 	 0.2424 	 0.1998 
436989 	 0.2338 	 0.1388 	 0.1704 
436990 	 0.2500 	 0.2886 	 0.1230 
436991 	 0.2396 	 0.2286 	 0.1682 
436993 	 0.5286 	 0.1752 	 0.1778 
436995 	 0.3497 	 0.2310 	 0.1838 
436997 	 0.4055 	 0.4362 	 0.3440 
436998 	 0.2886 	 0.3065 	 0.2354 
436999 	 0.6394 	 0.4496 	 0.5387 
437000 	 0.5817 	 0.4390 	 0.4995 
437001 	 0.5453 	 0.3605 	 0.4315 
437002 	 0.5593 	 0.3841 	 0.3960 
437003 	 0.3717 	 0.2260 	 0.2060 
437005 	 0.5586 	 0.4631 	 0.4998 
437006 	 0.4086 	 0.1137 	 0.1716 
437007 	 0.1856 	 0.1338 	 0.0968 
437008 	 0.3253 	 0.1783 	 0.2181 
437009 	 0.2376 	 0.1950 	 0.1814 
437011 	 0.3790 	 0.1745 	 0.1634 
437013 	 0.2621 	 0.1180 	 0.1072 
437014 	 0.3390 	 0.1788 	 0.1564 
437015 	 0.2762 	 0.1568 	 0.1539 
437016 	 0.1869 	 0.0539 	 0.0371 
437017 	 0.2119 	 0.1097 	 0.1011 
437018 	 0.2422 	 0.1249 	 0.1194 
437019 	 0.3224 	 0.2166 	 0.1917 
437021 	 0.2847 	 0.1901 	 0.1598 
437023 	 0.4336 	 0.4652 	 0.4288 
437024 	 0.4876 	 0.3601 	 0.4271 
437025 	 0.6461 	 0.5067 	 0.5499 
437026 	 0.6638 	 0.6375 	 0.6216 
437027 	 0.6522 	 0.5620 	 0.6079 
437029 	 0.5410 	 0.2851 	 0.2553 
437031 	 0.3761 	 0.1654 	 0.1526 
437033 	 0.7811 	 0.2343 	 0.2671 
437035 	 0.2403 	 0.2281 	 0.1618 
437037 	 0.3072 	 0.1683 	 0.1344 
437038 	 0.2722 	 0.1009 	 0.1059 
437039 	 0.3365 	 0.2269 	 0.1947 
437040 	 0.2587 	 0.0742 	 0.0376 
437041 	 0.2501 	 0.1029 	 0.0703 
437043 	 0.2909 	 0.1242 	 0.1302 
437044 	 0.4896 	 0.1826 	 0.1480 
437045 	 0.5221 	 0.1966 	 0.1747 
437046 	 0.3104 	 0.3234 	 0.1947 
437047 	 0.2924 	 0.3679 	 0.1881 
437049 	 0.2601 	 0.2607 	 0.1973 
437051 	 0.2614 	 0.0918 	 0.0944 
437053 	 0.3203 	 0.1197 	 0.1272 
437055 	 0.3395 	 0.1226 	 0.1289 
437057 	 0.3825 	 0.1606 	 0.1513 
437058 	 0.4059 	 0.2309 	 0.2265 
437059 	 0.3982 	 0.1612 	 0.1448 
437060 	 0.2998 	 0.0566 	 0.0403 
437061 	 0.3196 	 0.1109 	 0.0678 
437062 	 0.3479 	 0.0982 	 0.0932 
437063 	 0.5059 	 0.1539 	 0.1187 
437065 	 0.7841 	 0.4494 	 0.4662 
437066 	 0.7549 	 0.6036 	 0.6350 
437067 	 0.6980 	 0.4936 	 0.5082 
437069 	 0.2429 	 0.2297 	 0.1384 
437071 	 0.3190 	 0.2534 	 0.2459 
437073 	 0.5562 	 0.5509 	 0.5801 
437074 	 0.5944 	 0.7401 	 0.6847 
437075 	 0.7622 	 0.7086 	 0.7252 
437076 	 0.3305 	 0.2108 	 0.1393 
437077 	 0.2110 	 0.1297 	 0.1109 
437079 	 0.2879 	 0.2049 	 0.1766 
