hora,clave_max
436983,32.0
436984,41.0
436985,39.0
436986,44.0
436987,44.0
436988,47.0
436989,48.0
436990,57.0
436991,93.0
436992,74.0
436993,75.0
436994,60.0
436995,40.0
436996,24.0
436997,42.0
436998,47.0
436999,67.0
437000,88.0
437001,88.0
437002,122.0
437003,168.0
437004,162.0
437005,121.0
437006,50.0
437007,36.0
437008,60.0
437009,49.0
437010,45.0
437011,70.0
437012,65.0
437013,53.0
437014,66.0
437015,71.0
437016,73.0
437017,61.0
437018,48.0
437019,41.0
437020,32.0
437021,46.0
437022,48.0
437023,82.0
437024,172.0
437025,193.0
437026,196.0
437027,195.0
437028,126.0
437029,46.0
437030,74.0
437031,83.0
437032,78.0
437033,107.0
437034,90.0
437035,71.0
437036,77.0
437037,83.0
437038,93.0
437039,72.0
437040,80.0
437041,87.0
437042,64.0
437043,59.0
437044,56.0
437045,46.0
437046,38.0
437047,39.0
437048,49.0
437049,41.0
437050,58.0
437051,57.0
437052,52.0
437053,52.0
437054,53.0
437055,54.0
437056,51.0
437057,65.0
437058,73.0
437059,76.0
437060,89.0
437061,88.0
437062,78.0
437063,110.0
437064,199.0
437065,195.0
437066,181.0
437067,125.0
437068,45.0
437069,27.0
437070,30.0
437071,106.0
437072,190.0
437073,177.0
437074,189.0
437075,155.0
437076,40.0
