Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
436983 	 0.2393 	 0.1631 	 0.1185 
436984 	 0.1967 	 0.2257 	 0.1512 
436985 	 0.1106 	 0.0666 	 0.0468 
436986 	 0.2247 	 0.1217 	 0.1156 
436987 	 0.2475 	 0.1117 	 0.1053 
436988 	 0.2300 	 0.1828 	 0.1207 
436989 	 0.2156 	 0.1239 	 0.1131 
436990 	 0.4020 	 0.1418 	 0.1310 
436991 	 0.3884 	 0.1008 	 0.1180 
436992 	 0.4060 	 0.1522 	 0.1421 
436993 	 0.5592 	 0.1999 	 0.1896 
436994 	 0.4481 	 0.1731 	 0.1778 
436995 	 0.3102 	 0.2588 	 0.1463 
436996 	 0.4061 	 0.2974 	 0.2140 
436997 	 0.4368 	 0.2176 	 0.1941 
436998 	 0.4210 	 0.1292 	 0.1230 
436999 	 0.5511 	 0.2795 	 0.2753 
437000 	 0.4955 	 0.2257 	 0.2270 
437001 	 0.6393 	 0.2475 	 0.2825 
437002 	 0.6024 	 0.3800 	 0.3405 
437003 	 0.5578 	 0.4280 	 0.3669 
437004 	 0.4777 	 0.4402 	 0.3612 
437005 	 0.4594 	 0.2268 	 0.1756 
437006 	 0.4105 	 0.1250 	 0.0931 
437007 	 0.2405 	 0.0778 	 0.0631 
437008 	 0.2534 	 0.1011 	 0.1023 
437009 	 0.3620 	 0.1212 	 0.1154 
437010 	 0.3827 	 0.1485 	 0.1714 
437011 	 0.4434 	 0.1675 	 0.1475 
437012 	 0.3690 	 0.0503 	 0.0544 
437013 	 0.2745 	 0.0805 	 0.0803 
437014 	 0.3341 	 0.1343 	 0.0953 
437015 	 0.2719 	 0.0978 	 0.0673 
437016 	 0.2986 	 0.1595 	 0.1450 
437017 	 0.3296 	 0.1934 	 0.1518 
437018 	 0.2319 	 0.1504 	 0.1374 
437019 	 0.2364 	 0.4176 	 0.1116 
437020 	 0.3066 	 0.2988 	 0.2223 
437021 	 0.4089 	 0.2081 	 0.2063 
437022 	 0.4734 	 0.2883 	 0.2934 
437023 	 0.5771 	 0.5327 	 0.5140 
437024 	 0.5760 	 0.5286 	 0.4933 
437025 	 0.6212 	 0.5613 	 0.5332 
437026 	 0.5450 	 0.4692 	 0.4096 
437027 	 0.5550 	 0.4506 	 0.3629 
437028 	 0.5457 	 0.2328 	 0.1842 
437029 	 0.4922 	 0.2380 	 0.1572 
437030 	 0.4939 	 0.1117 	 0.1069 
437031 	 0.5520 	 0.1203 	 0.1275 
437032 	 0.7086 	 0.0938 	 0.0846 
437033 	 0.5255 	 0.1007 	 0.0790 
437034 	 0.3637 	 0.0680 	 0.0417 
437035 	 0.3826 	 0.1281 	 0.0844 
437036 	 0.3308 	 0.1059 	 0.0710 
437037 	 0.3388 	 0.0965 	 0.0788 
437038 	 0.3294 	 0.0965 	 0.0620 
437039 	 0.3419 	 0.1118 	 0.0657 
437040 	 0.3945 	 0.1566 	 0.1021 
437041 	 0.2426 	 0.0432 	 0.0144 
437042 	 0.3758 	 0.1320 	 0.1185 
437043 	 0.3548 	 0.1523 	 0.1280 
437044 	 0.3616 	 0.1515 	 0.1474 
437045 	 0.4031 	 0.1331 	 0.1357 
437046 	 0.3591 	 0.1675 	 0.1526 
437047 	 0.3312 	 0.1665 	 0.1449 
437048 	 0.3098 	 0.1496 	 0.1081 
437049 	 0.2905 	 0.1135 	 0.0801 
437050 	 0.3300 	 0.0962 	 0.0843 
437051 	 0.2490 	 0.0550 	 0.0353 
437052 	 0.2657 	 0.0537 	 0.0442 
437053 	 0.3146 	 0.0633 	 0.0302 
437054 	 0.2872 	 0.0551 	 0.0352 
437055 	 0.2273 	 0.0403 	 0.0272 
437056 	 0.2862 	 0.0799 	 0.0735 
437057 	 0.3799 	 0.0739 	 0.0526 
437058 	 0.3279 	 0.0778 	 0.0530 
437059 	 0.3759 	 0.1034 	 0.0762 
437060 	 0.4184 	 0.0847 	 0.0547 
437061 	 0.3967 	 0.0660 	 0.0346 
437062 	 0.8034 	 0.0954 	 0.0519 
437063 	 1.0522 	 0.3680 	 0.3084 
437064 	 1.0143 	 0.4152 	 0.3777 
437065 	 0.8546 	 0.5217 	 0.5136 
437066 	 0.7796 	 0.5690 	 0.5709 
437067 	 0.6956 	 0.4472 	 0.4167 
437068 	 0.3945 	 0.2213 	 0.1650 
437069 	 0.2455 	 0.2329 	 0.1468 
437070 	 0.5422 	 0.4607 	 0.4393 
437071 	 0.6965 	 0.7137 	 0.6933 
437072 	 0.6464 	 0.6751 	 0.6651 
437073 	 0.7125 	 0.6338 	 0.6171 
437074 	 0.7009 	 0.5735 	 0.5639 
437075 	 0.5526 	 0.4265 	 0.3628 
