,hora,clave_max
0,394669,20.0
1,394670,11.0
2,394671,12.0
3,394672,28.0
4,394673,33.0
5,394674,18.0
6,394675,13.0
7,394676,21.0
8,394677,23.0
9,394678,9.0
10,394679,8.0
11,394680,11.0
12,394681,9.0
13,394682,3.0
14,394683,5.0
15,394684,5.0
16,394685,7.0
17,394686,14.0
18,394687,10.0
19,394688,14.0
20,394689,19.0
21,394690,7.0
22,394691,18.0
23,394692,18.0
24,394693,12.0
25,394694,8.0
26,394695,13.0
27,394696,11.0
28,394697,9.0
29,394698,17.0
30,394699,24.0
31,394700,35.0
32,394701,35.0
33,394702,12.0
34,394703,20.0
35,394704,21.0
36,394705,5.0
37,394706,6.0
38,394707,5.0
39,394708,5.0
40,394709,9.0
41,394710,8.0
42,394711,5.0
43,394712,6.0
44,394713,10.0
45,394714,22.0
46,394715,22.0
47,394716,27.0
48,394717,16.0
49,394718,24.0
50,394719,36.0
51,394720,12.0
52,394721,17.0
53,394722,17.0
54,394723,17.0
55,394724,14.0
56,394725,28.0
57,394726,26.0
58,394727,26.0
59,394728,18.0
60,394729,9.0
61,394730,8.0
62,394731,2.0
63,394732,8.0
64,394733,13.0
65,394734,4.0
66,394735,11.0
67,394736,14.0
68,394737,6.0
69,394738,5.0
70,394739,7.0
71,394740,13.0
72,394741,13.0
73,394742,11.0
74,394743,8.0
75,394744,8.0
76,394745,9.0
77,394746,11.0
78,394747,16.0
79,394748,12.0
80,394749,12.0
81,394750,19.0
82,394751,16.0
83,394752,8.0
84,394753,7.0
85,394754,3.0
86,394755,1.0
87,394756,3.0
88,394757,3.0
89,394758,8.0
90,394759,8.0
91,394760,7.0
92,394761,7.0
93,394762,9.0
94,394763,7.0
95,394764,6.0
