Network 	 clustering\_coeff 	 $\epsilon_{\max}$ 
394669 	 0.8932 	 0.4893 
394671 	 0.8837 	 0.3489 
394673 	 0.8806 	 0.6432 
394675 	 0.8676 	 0.5386 
394677 	 0.8814 	 0.5874 
394679 	 0.8906 	 0.5402 
394680 	 0.9156 	 0.5066 
394681 	 0.9366 	 0.4967 
394682 	 0.8437 	 0.0251 
394683 	 0.9725 	 0.0000 
394684 	 0.9481 	 0.0500 
394685 	 0.8989 	 0.1233 
394686 	 0.9067 	 0.5408 
394687 	 0.9188 	 0.4634 
394688 	 0.9048 	 0.5771 
394689 	 0.8731 	 0.7345 
394690 	 0.8948 	 0.5619 
394691 	 0.9022 	 0.5114 
394692 	 0.8877 	 0.4857 
394693 	 0.8808 	 0.4028 
394694 	 0.8802 	 0.4818 
394695 	 0.8829 	 0.6347 
394696 	 0.8687 	 0.4076 
394697 	 0.8719 	 0.4474 
394698 	 0.8892 	 0.5916 
394699 	 0.8897 	 0.5066 
394700 	 0.8896 	 0.5076 
394701 	 0.9002 	 0.6588 
394702 	 0.8773 	 0.7552 
394703 	 0.8994 	 0.5026 
394704 	 0.8583 	 0.5570 
394705 	 0.8577 	 0.4235 
394706 	 0.9021 	 0.2645 
394707 	 0.9076 	 0.0500 
394708 	 0.9138 	 0.2541 
394709 	 0.9075 	 0.1474 
394710 	 0.7920 	 0.0701 
394711 	 0.8487 	 0.5296 
394712 	 0.8437 	 0.4442 
394713 	 0.8987 	 0.5430 
394714 	 0.9013 	 0.4764 
394715 	 0.8916 	 0.5940 
394716 	 0.8949 	 0.5844 
394717 	 0.8947 	 0.3453 
394718 	 0.8909 	 0.3317 
394719 	 0.8891 	 0.5577 
394720 	 0.8648 	 0.4330 
394721 	 0.8614 	 0.2676 
394722 	 0.8689 	 0.4055 
394723 	 0.8704 	 0.3424 
394724 	 0.8855 	 0.3221 
394725 	 0.8976 	 0.6886 
394726 	 0.8970 	 0.6275 
394727 	 0.8779 	 0.3500 
394728 	 0.9051 	 0.4152 
394729 	 0.9091 	 0.3831 
394730 	 0.8769 	 0.2625 
394731 	 0.8106 	 0.0250 
394732 	 0.9430 	 0.0500 
394733 	 0.8876 	 0.4960 
394734 	 0.8423 	 0.6763 
394735 	 0.8994 	 0.5110 
394736 	 0.9050 	 0.4056 
394737 	 0.8845 	 0.6340 
394738 	 0.9060 	 0.4703 
394739 	 0.9016 	 0.3818 
394740 	 0.9243 	 0.4657 
394741 	 0.9086 	 0.6166 
394742 	 0.8397 	 0.5249 
394743 	 0.8695 	 0.5775 
394744 	 0.8811 	 0.3890 
394745 	 0.8753 	 0.4600 
394746 	 0.8538 	 0.4442 
394747 	 0.8458 	 0.5339 
394748 	 0.8514 	 0.4865 
394749 	 0.8894 	 0.4769 
394750 	 0.8919 	 0.5338 
394751 	 0.9224 	 0.5799 
394752 	 0.9224 	 0.5649 
394753 	 0.9043 	 0.0500 
394754 	 0.7167 	 nan 
