Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394621 	 0.2980 	 0.3225 	 0.3165 
394622 	 0.7910 	 0.4730 	 0.4702 
394623 	 0.6378 	 0.4042 	 0.3769 
394624 	 0.4177 	 0.3366 	 0.2502 
394625 	 0.2521 	 0.3349 	 0.2422 
394626 	 0.2997 	 0.8610 	 0.2980 
394627 	 0.3949 	 0.5657 	 0.3674 
394628 	 0.5411 	 0.6624 	 0.3804 
394629 	 0.4553 	 0.5828 	 0.2925 
394630 	 0.3855 	 0.4279 	 0.3238 
394631 	 0.4202 	 0.4113 	 0.3217 
394632 	 0.5393 	 0.4705 	 0.4761 
394633 	 0.3490 	 0.5130 	 0.4518 
394634 	 0.1368 	 0.1720 	 0.1674 
394635 	 0.1459 	 0.2967 	 0.2580 
394636 	 0.1598 	 0.1664 	 0.1534 
394637 	 0.4553 	 0.5498 	 0.4117 
394638 	 0.4680 	 0.5062 	 0.4525 
394639 	 0.5080 	 0.3748 	 0.4112 
394640 	 0.4974 	 0.6053 	 0.5728 
394641 	 0.5877 	 0.6452 	 0.5520 
394642 	 0.5366 	 0.6449 	 0.5208 
394643 	 0.5667 	 0.6402 	 0.4164 
394644 	 0.7146 	 0.5029 	 0.5432 
394645 	 0.5779 	 0.4921 	 0.5249 
394646 	 0.5313 	 0.5051 	 0.5046 
394647 	 0.7475 	 0.5305 	 0.6251 
394648 	 0.7487 	 0.5241 	 0.6260 
394649 	 0.5564 	 0.4686 	 0.4449 
394650 	 0.4073 	 0.8311 	 0.4072 
394651 	 0.7111 	 0.5353 	 0.6081 
394652 	 0.7588 	 0.6230 	 0.7631 
394653 	 0.5485 	 2.0817 	 0.4777 
394654 	 0.4890 	 0.5987 	 0.4723 
394655 	 0.4365 	 0.4737 	 0.4095 
394656 	 0.3639 	 0.4395 	 0.4256 
394657 	 0.2231 	 0.2711 	 0.2853 
394658 	 0.2785 	 0.2883 	 0.3062 
394659 	 0.1883 	 0.1853 	 0.1551 
394660 	 0.0000 	 0.0000 	 0.0000 
394661 	 0.3730 	 0.4287 	 0.3967 
394662 	 0.4133 	 0.7007 	 0.4234 
394663 	 0.4585 	 0.8502 	 0.4172 
394664 	 0.2851 	 0.4552 	 0.2396 
394665 	 0.3863 	 0.5450 	 0.4466 
394666 	 0.4311 	 0.8453 	 0.3548 
394667 	 0.3857 	 0.4055 	 0.2308 
394668 	 0.3600 	 0.3855 	 0.3430 
394669 	 0.4893 	 0.3466 	 0.4022 
394670 	 0.2952 	 0.3487 	 0.2631 
394671 	 0.1982 	 0.3489 	 0.1296 
394672 	 0.4756 	 0.3833 	 0.2464 
394673 	 0.6432 	 0.4264 	 0.3964 
394674 	 0.4401 	 0.4358 	 0.2883 
394675 	 0.4299 	 0.5386 	 0.3976 
394676 	 0.5534 	 0.3957 	 0.4832 
394677 	 0.5874 	 0.3620 	 0.5786 
394678 	 0.4078 	 0.8913 	 0.3279 
394679 	 0.5067 	 0.5402 	 0.4542 
394680 	 0.4266 	 0.5066 	 0.5027 
394681 	 0.4100 	 0.4967 	 0.4832 
394682 	 0.0180 	 0.0003 	 0.0251 
394683 	 0.0000 	 0.0000 	 0.0000 
394684 	 0.0500 	 0.0500 	 0.0500 
394685 	 0.1063 	 0.1233 	 0.0966 
394686 	 0.3614 	 0.4377 	 0.5408 
394687 	 0.4586 	 0.4634 	 0.4507 
394688 	 0.5771 	 0.4202 	 0.4815 
394689 	 0.7345 	 0.4802 	 0.5192 
394690 	 0.3144 	 0.5619 	 0.2561 
394691 	 0.4892 	 0.4619 	 0.5114 
394692 	 0.4857 	 0.3969 	 0.4159 
394693 	 0.4028 	 0.3886 	 0.3548 
394694 	 0.4187 	 0.4818 	 0.2873 
394695 	 0.4844 	 0.6347 	 0.4061 
394696 	 0.3730 	 0.4076 	 0.3343 
394697 	 0.3404 	 0.4474 	 0.2885 
394698 	 0.5010 	 0.5916 	 0.4803 
394699 	 0.5066 	 0.4061 	 0.3956 
394700 	 0.5076 	 0.3644 	 0.4012 
394701 	 0.6588 	 0.4622 	 0.5286 
394702 	 0.4638 	 0.7552 	 0.3677 
394703 	 0.4884 	 0.5026 	 0.4649 
394704 	 0.4193 	 0.4246 	 0.5570 
394705 	 0.3659 	 0.4235 	 0.4032 
394706 	 0.2083 	 0.2645 	 0.2374 
394707 	 0.0500 	 0.0500 	 0.0500 
394708 	 0.1839 	 0.2467 	 0.2541 
394709 	 0.1217 	 0.1474 	 0.1449 
394710 	 0.0685 	 0.0701 	 0.0416 
394711 	 0.3712 	 0.5296 	 0.3979 
394712 	 0.3453 	 0.4442 	 0.2634 
394713 	 0.3992 	 0.5430 	 0.3608 
394714 	 0.4764 	 0.4267 	 0.3265 
394715 	 0.5940 	 0.5851 	 0.4632 
394716 	 0.5492 	 0.5844 	 0.5353 
394717 	 0.3453 	 0.3341 	 0.2082 
394718 	 0.3317 	 0.3042 	 0.1640 
394719 	 0.5577 	 0.3921 	 0.3775 
394720 	 0.1657 	 0.4330 	 0.1360 
394721 	 0.2676 	 0.2549 	 0.2488 
394722 	 0.3304 	 0.4055 	 0.1781 
394723 	 0.3424 	 0.3395 	 0.1923 
394724 	 0.2667 	 0.3221 	 0.2255 
394725 	 0.6886 	 0.3947 	 0.4877 
394726 	 0.6275 	 0.4525 	 0.6211 
394727 	 0.3500 	 0.2856 	 0.3376 
394728 	 0.4000 	 0.4152 	 0.4089 
394729 	 0.3237 	 0.3831 	 0.3353 
394730 	 0.2558 	 0.2506 	 0.2625 
394731 	 0.0184 	 0.0003 	 0.0250 
394732 	 0.0500 	 0.0500 	 0.0500 
394733 	 0.3991 	 0.4960 	 0.3850 
394734 	 0.6763 	 0.4816 	 0.4375 
394735 	 0.4221 	 0.5110 	 0.4518 
394736 	 0.3779 	 0.3770 	 0.4056 
394737 	 0.4351 	 0.6340 	 0.4037 
394738 	 0.4356 	 0.4703 	 0.3321 
394739 	 0.3630 	 0.3818 	 0.2806 
394740 	 0.4621 	 0.4657 	 0.3602 
394741 	 0.5509 	 0.6166 	 0.4594 
394742 	 0.4858 	 0.4074 	 0.5249 
394743 	 0.5775 	 0.5414 	 0.5427 
394744 	 0.3687 	 0.3890 	 0.3133 
394745 	 0.2980 	 0.4600 	 0.2462 
