hora,clave_max
394669,20.0
394670,11.0
394671,12.0
394672,28.0
394673,33.0
394674,18.0
394675,13.0
394676,21.0
394677,23.0
394678,9.0
394679,8.0
394680,11.0
394681,9.0
394682,3.0
394683,5.0
394684,5.0
394685,7.0
394686,14.0
394687,10.0
394688,14.0
394689,19.0
394690,7.0
394691,18.0
394692,18.0
394693,12.0
394694,8.0
394695,13.0
394696,11.0
394697,9.0
394698,17.0
394699,24.0
394700,35.0
394701,35.0
394702,12.0
394703,20.0
394704,21.0
394705,5.0
394706,6.0
394707,5.0
394708,5.0
394709,9.0
394710,8.0
394711,5.0
394712,6.0
394713,10.0
394714,22.0
394715,22.0
394716,27.0
394717,16.0
394718,24.0
394719,36.0
394720,12.0
394721,17.0
394722,17.0
394723,17.0
394724,14.0
394725,28.0
394726,26.0
394727,26.0
394728,18.0
394729,9.0
394730,8.0
394731,2.0
394732,8.0
394733,13.0
394734,4.0
394735,11.0
394736,14.0
394737,6.0
394738,5.0
394739,7.0
394740,13.0
394741,13.0
394742,11.0
394743,8.0
394744,8.0
394745,9.0
394746,11.0
394747,16.0
394748,12.0
394749,12.0
394750,19.0
394751,16.0
394752,8.0
394753,7.0
394754,3.0
394755,1.0
394756,3.0
394757,3.0
394758,8.0
394759,8.0
394760,7.0
394761,7.0
394762,9.0
394763,7.0
