hora,clave_max
429564,13.0
429565,6.0
429566,16.0
429567,18.0
429568,14.0
429569,19.0
429570,21.0
429571,6.0
429572,14.0
429573,23.0
429574,11.0
429575,14.0
429576,11.0
429577,8.0
429578,17.0
429579,7.0
429580,14.0
429581,7.0
429582,5.0
429583,4.0
429584,5.0
429585,4.0
429586,16.0
429587,10.0
429588,9.0
429589,19.0
429590,13.0
429591,14.0
429592,10.0
429593,11.0
429594,16.0
429595,23.0
429596,11.0
429597,25.0
429598,5.0
429599,31.0
429600,24.0
429601,17.0
429602,16.0
429603,15.0
429604,10.0
429605,6.0
429606,2.0
429607,3.0
429608,4.0
429609,4.0
429610,7.0
429611,13.0
429612,13.0
429613,15.0
429614,10.0
429615,29.0
429616,20.0
429617,11.0
429618,25.0
429619,32.0
429620,12.0
429621,10.0
429622,17.0
429623,27.0
429624,22.0
429625,28.0
429626,22.0
429627,22.0
429628,13.0
429629,14.0
429630,11.0
429631,11.0
429632,6.0
429633,12.0
429634,11.0
429635,15.0
429636,37.0
429637,13.0
429638,14.0
429639,31.0
429640,12.0
429641,9.0
429642,14.0
429643,7.0
429644,19.0
429645,13.0
429646,22.0
429647,9.0
429648,7.0
429649,5.0
429650,38.0
429651,15.0
429652,6.0
429653,7.0
429654,3.0
429655,8.0
429656,11.0
429657,4.0
429658,4.0
429659,9.0
429660,9.0
429661,16.0
429662,10.0
429663,5.0
429664,11.0
429665,9.0
429666,19.0
429667,20.0
429668,12.0
429669,22.0
429670,5.0
429671,10.0
429672,15.0
429673,12.0
429674,6.0
429675,6.0
429676,17.0
429677,6.0
429678,5.0
429679,5.0
429680,8.0
429681,4.0
429682,15.0
429683,12.0
429684,10.0
