Network 	 clustering\_coeff 	 eps_max 
429576 	 0.8578 	 0.5393 
429577 	 0.8295 	 0.3970 
429578 	 0.8605 	 0.4907 
429579 	 0.8289 	 0.5960 
429580 	 0.8866 	 0.4735 
429581 	 0.8800 	 0.0500 
429582 	 1.0000 	 0.0000 
429583 	 0.9192 	 0.0250 
429584 	 1.0000 	 0.0000 
429585 	 0.7800 	 0.0500 
429586 	 0.9002 	 0.3419 
429587 	 0.8318 	 0.3415 
429588 	 0.8273 	 0.3960 
429589 	 0.8516 	 0.3184 
429590 	 0.8635 	 0.4672 
429591 	 0.8966 	 0.6141 
429592 	 0.8517 	 0.4758 
429593 	 0.8695 	 0.3887 
429594 	 0.8975 	 0.6328 
429595 	 0.9072 	 0.3796 
429596 	 0.8954 	 0.8197 
429597 	 0.8794 	 0.6469 
429598 	 0.8268 	 0.2874 
429599 	 0.8778 	 0.5522 
429600 	 0.8887 	 0.5378 
429601 	 0.8317 	 0.4018 
429602 	 0.8456 	 0.5014 
429603 	 0.8508 	 0.3494 
429604 	 0.8805 	 0.0500 
429605 	 0.8956 	 0.5396 
429606 	 1.0000 	 0.0000 
429607 	 1.0000 	 0.0000 
429608 	 1.0000 	 0.0000 
429609 	 0.8997 	 0.1886 
429610 	 0.8786 	 0.4317 
429611 	 0.8536 	 0.5100 
429612 	 0.8508 	 0.4393 
429613 	 0.8493 	 0.5255 
429614 	 0.8430 	 0.4638 
429615 	 0.8687 	 0.5634 
429616 	 0.8356 	 0.4856 
429617 	 0.8206 	 0.4964 
429618 	 0.8741 	 0.5046 
429619 	 0.9016 	 0.4591 
429620 	 0.8775 	 0.6138 
429621 	 0.8409 	 0.3248 
429622 	 0.8744 	 0.4100 
429623 	 0.8794 	 0.3678 
429624 	 0.8787 	 0.2722 
429625 	 0.8682 	 0.3965 
429626 	 0.8821 	 0.4012 
429627 	 0.8546 	 0.5486 
429628 	 0.8692 	 0.3369 
429629 	 0.8928 	 0.4326 
429630 	 0.8881 	 0.4733 
429631 	 0.8365 	 0.4436 
429632 	 0.8920 	 0.5252 
429633 	 0.8971 	 0.4026 
429634 	 0.8476 	 0.5201 
429635 	 0.8429 	 0.3662 
429636 	 0.9120 	 0.6838 
429637 	 0.8764 	 0.3450 
429638 	 0.8500 	 0.3775 
429639 	 0.8782 	 0.6379 
429640 	 0.8483 	 0.4220 
429641 	 0.8916 	 0.5539 
429642 	 0.8681 	 0.4061 
429643 	 0.8555 	 0.4367 
429644 	 0.8800 	 0.5781 
429645 	 0.8623 	 0.4905 
429646 	 0.8862 	 0.4907 
429647 	 0.8772 	 0.4737 
429648 	 0.8566 	 0.5321 
429649 	 0.8479 	 0.5434 
429650 	 0.9257 	 0.8580 
429651 	 0.9012 	 0.3473 
429652 	 0.8515 	 0.4417 
429653 	 0.9681 	 0.1363 
429654 	 0.8446 	 0.0250 
429655 	 1.0000 	 0.0000 
429656 	 0.9752 	 0.0000 
429657 	 1.0000 	 0.0000 
429658 	 0.9835 	 0.0000 
429659 	 0.8799 	 0.4532 
429660 	 0.8780 	 0.4614 
429661 	 0.8844 	 0.5200 
429662 	 0.8262 	 0.3787 
429663 	 0.8244 	 0.3696 
429664 	 0.8202 	 0.6516 
429665 	 0.8571 	 0.4300 
429666 	 0.8469 	 0.3739 
429667 	 0.8957 	 0.3927 
429668 	 0.8925 	 0.4133 
429669 	 0.9029 	 0.3845 
429670 	 0.8371 	 0.4225 
429671 	 0.8283 	 0.3186 
