Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
429576 	 0.4851 	 0.5393 	 0.4448 
429577 	 0.3378 	 0.3970 	 0.2538 
429578 	 0.4614 	 0.4907 	 0.4877 
429579 	 0.4911 	 0.5960 	 0.5462 
429580 	 0.4197 	 0.4641 	 0.4735 
429581 	 0.0347 	 0.0003 	 0.0500 
429582 	 0.0000 	 0.0000 	 0.0000 
429583 	 0.0250 	 0.0250 	 0.0250 
429584 	 0.0000 	 0.0000 	 0.0000 
429585 	 0.0500 	 0.0500 	 0.0500 
429586 	 0.3070 	 0.3370 	 0.3419 
429587 	 0.3415 	 0.3402 	 0.3377 
429588 	 0.3489 	 0.3960 	 0.3719 
429589 	 0.2842 	 0.3184 	 0.2411 
429590 	 0.4169 	 0.3993 	 0.4672 
429591 	 0.5099 	 0.5835 	 0.6141 
429592 	 0.4758 	 0.3867 	 0.3964 
429593 	 0.3887 	 0.3249 	 0.3187 
429594 	 0.4980 	 0.5486 	 0.6328 
429595 	 0.3679 	 0.3796 	 0.3600 
429596 	 0.4417 	 0.5156 	 0.8197 
429597 	 0.6378 	 0.6435 	 0.6469 
429598 	 0.2874 	 0.1980 	 0.1550 
429599 	 0.5474 	 0.5522 	 0.5432 
429600 	 0.4859 	 0.5378 	 0.5168 
429601 	 0.3401 	 0.4018 	 0.3497 
429602 	 0.5014 	 0.3951 	 0.4254 
429603 	 0.3494 	 0.2880 	 0.3121 
429604 	 0.0500 	 0.0500 	 0.0500 
429605 	 0.3352 	 0.5396 	 0.4471 
429606 	 0.0000 	 0.0000 	 0.0000 
429607 	 0.0000 	 0.0000 	 0.0000 
429608 	 0.0000 	 0.0000 	 0.0000 
429609 	 0.1736 	 0.1886 	 0.1712 
429610 	 0.4317 	 0.4170 	 0.3802 
429611 	 0.5100 	 0.4388 	 0.3729 
429612 	 0.4058 	 0.4393 	 0.4298 
429613 	 0.5255 	 0.3896 	 0.4744 
429614 	 0.4435 	 0.4638 	 0.3638 
429615 	 0.5634 	 0.4495 	 0.5025 
429616 	 0.4373 	 0.4856 	 0.4215 
429617 	 0.4964 	 0.4034 	 0.4051 
429618 	 0.5046 	 0.4342 	 0.4684 
429619 	 0.4591 	 0.4248 	 0.4354 
429620 	 0.6138 	 0.4285 	 0.4250 
429621 	 0.2872 	 0.3248 	 0.3169 
429622 	 0.3983 	 0.4100 	 0.3008 
429623 	 0.3678 	 0.1978 	 0.1512 
429624 	 0.2722 	 0.1926 	 0.1746 
429625 	 0.3965 	 0.1105 	 0.1075 
429626 	 0.4012 	 0.1916 	 0.1825 
429627 	 0.5080 	 0.5486 	 0.3588 
429628 	 0.3086 	 0.3369 	 0.2822 
429629 	 0.4147 	 0.4326 	 0.3928 
429630 	 0.3537 	 0.4733 	 0.4400 
429631 	 0.3044 	 0.4436 	 0.4068 
429632 	 0.3133 	 0.5252 	 0.4485 
429633 	 0.3224 	 0.3946 	 0.4026 
429634 	 0.4830 	 0.5201 	 0.4853 
429635 	 0.3652 	 0.3588 	 0.3662 
429636 	 0.6575 	 0.6645 	 0.6838 
429637 	 0.3275 	 0.3450 	 0.2508 
429638 	 0.3635 	 0.3595 	 0.3775 
429639 	 0.6379 	 0.5721 	 0.5618 
429640 	 0.3953 	 0.4220 	 0.3735 
429641 	 0.4402 	 0.5539 	 0.3538 
429642 	 0.4061 	 0.3661 	 0.2962 
429643 	 0.3934 	 0.4367 	 0.3186 
429644 	 0.5781 	 0.5405 	 0.5619 
429645 	 0.4784 	 0.4905 	 0.4699 
429646 	 0.4643 	 0.4781 	 0.4907 
429647 	 0.4381 	 0.4737 	 0.4494 
429648 	 0.4122 	 0.4531 	 0.5321 
429649 	 0.4303 	 0.5434 	 0.4688 
429650 	 0.6700 	 0.8580 	 0.7473 
429651 	 0.3306 	 0.3270 	 0.3473 
429652 	 0.4279 	 0.4417 	 0.3245 
429653 	 0.1052 	 0.1329 	 0.1363 
429654 	 0.0250 	 0.0250 	 0.0000 
429655 	 0.0000 	 0.0000 	 0.0000 
429656 	 0.0000 	 0.0000 	 0.0000 
429657 	 0.0000 	 0.0000 	 0.0000 
429658 	 0.0000 	 0.0000 	 0.0000 
429659 	 0.4268 	 0.4185 	 0.4532 
429660 	 0.3997 	 0.4196 	 0.4614 
429661 	 0.4949 	 0.4026 	 0.5200 
429662 	 0.3787 	 0.3453 	 0.3626 
429663 	 0.3409 	 0.3696 	 0.3364 
429664 	 0.5132 	 0.5127 	 0.6516 
429665 	 0.4300 	 0.4107 	 0.4091 
429666 	 0.3739 	 0.3603 	 0.3567 
429667 	 0.3927 	 0.3320 	 0.3120 
429668 	 0.4117 	 0.4133 	 0.3813 
429669 	 0.3488 	 0.3357 	 0.3845 
429670 	 0.2923 	 0.4193 	 0.4225 
429671 	 0.2548 	 0.3186 	 0.2565 
