hora,clave_max
429576,12.0
429577,15.0
429578,15.0
429579,15.0
429580,13.0
429581,6.0
429582,17.0
429583,15.0
429584,15.0
429585,18.0
429586,18.0
429587,29.0
429588,18.0
429589,17.0
429590,18.0
429591,25.0
429592,30.0
429593,32.0
429594,30.0
429595,30.0
429596,30.0
429597,29.0
429598,31.0
429599,35.0
429600,19.0
429601,16.0
429602,15.0
429603,17.0
429604,11.0
429605,7.0
429606,7.0
429607,13.0
429608,13.0
429609,18.0
429610,15.0
429611,30.0
429612,24.0
429613,30.0
429614,30.0
429615,60.0
429616,57.0
429617,60.0
429618,53.0
429619,38.0
429620,42.0
429621,49.0
429622,50.0
429623,51.0
429624,49.0
429625,36.0
429626,27.0
429627,24.0
429628,22.0
429629,17.0
429630,14.0
429631,14.0
429632,52.0
429633,52.0
429634,49.0
429635,44.0
429636,45.0
429637,34.0
429638,41.0
429639,38.0
429640,17.0
429641,22.0
429642,37.0
429643,37.0
429644,26.0
429645,37.0
429646,62.0
429647,67.0
429648,66.0
429649,62.0
429650,50.0
429651,23.0
429652,18.0
429653,23.0
429654,24.0
429655,24.0
429656,15.0
429657,15.0
429658,15.0
429659,11.0
429660,24.0
429661,29.0
429662,32.0
429663,62.0
429664,54.0
429665,61.0
429666,62.0
429667,50.0
