manifestacion,hour,hour_rel,ami,pairwise,n_nodes_ref,n_nodes_layer
nat,429576,-48.0,0.0,0.003618186146155677,538,332
nat,429577,-47.0,0.0,0.002713639609616758,538,338
nat,429578,-46.0,0.0,0.00433230183289693,538,248
nat,429579,-45.0,0.0,0.0020471316353249227,538,184
nat,429580,-44.0,0.0,0.0010473696738871696,538,70
nat,429581,-43.0,0.0,0.0,538,16
nat,429582,-42.0,0.0,0.0,538,8
nat,429583,-41.0,0.0,4.7607712449416804e-05,538,11
nat,429584,-40.0,0.0,0.0,538,8
nat,429585,-39.0,0.0,4.7607712449416804e-05,538,11
nat,429586,-38.0,0.0,0.0009521542489883361,538,85
nat,429587,-37.0,0.0,0.0009997619614377528,538,107
nat,429588,-36.0,0.0,0.0008569388240895025,538,100
nat,429589,-35.0,0.0,0.0012854082361342537,538,142
nat,429590,-34.0,0.0,0.0013806236610330873,538,189
nat,429591,-33.0,0.0,0.0005712925493930016,538,168
nat,429592,-32.0,0.0,0.0007617233991906689,538,142
nat,429593,-31.0,0.0,0.0007141156867412521,538,126
nat,429594,-30.0,0.0,0.0020947393477743393,538,148
nat,429595,-29.0,0.0,0.0015710545108307545,538,163
nat,429596,-28.0,0.0,0.0023327779100214235,538,144
nat,429597,-27.0,0.0,0.00119019281123542,538,138
nat,429598,-26.0,0.0,0.0008569388240895025,538,123
nat,429599,-25.0,0.0,0.002189954772673173,538,222
nat,429600,-24.0,0.0,0.001951916210426089,538,219
nat,429601,-23.0,0.0,0.0015234467983813377,538,141
nat,429602,-22.0,0.0,0.001713877648179005,538,195
nat,429603,-21.0,0.0,0.0007141156867412521,538,137
nat,429604,-20.0,0.0,0.00038086169959533443,538,30
nat,429605,-19.0,0.0,0.00038086169959533443,538,64
nat,429606,-18.0,0.0,0.0,538,13
nat,429607,-17.0,0.0,0.0,538,5
nat,429608,-16.0,0.0,0.0,538,7
nat,429609,-15.0,0.0,4.7607712449416804e-05,538,24
nat,429610,-14.0,0.0,0.0005236848369435848,538,105
nat,429611,-13.0,0.0,0.0009997619614377528,538,134
nat,429612,-12.0,0.0,0.0017614853606284218,538,167
nat,429613,-11.0,0.0,0.002666031897167341,538,257
nat,429614,-10.0,0.0,0.003856224708402761,538,206
nat,429615,-9.0,0.0,0.003142109021661509,538,260
nat,429616,-8.0,0.0,0.002666031897167341,538,214
nat,429617,-7.0,0.0,0.002427993334920257,538,175
nat,429618,-6.0,0.0,0.00461794810759343,538,160
