manifestacion,hour,hour_rel,ami,pairwise
nat,429576,-48.0,0.0,0.003123345685547909
nat,429577,-47.0,0.0,0.002541026998411858
nat,429578,-46.0,0.0,0.0042879830598200105
nat,429579,-45.0,0.0,0.002593965060878772
nat,429580,-44.0,0.0,0.0008999470619375331
nat,429581,-43.0,0.0,0.00015881418740074113
nat,429582,-42.0,0.0,0.00026469031233456857
nat,429583,-41.0,0.0,0.00010587612493382742
nat,429584,-40.0,0.0,5.293806246691371e-05
nat,429585,-39.0,0.0,5.293806246691371e-05
nat,429586,-38.0,0.0,0.0006352567496029645
nat,429587,-37.0,0.0,0.000741132874536792
nat,429588,-36.0,0.0,0.0009528851244044468
nat,429589,-35.0,0.0,0.0015881418740074113
nat,429590,-34.0,0.0,0.0013763896241397566
nat,429591,-33.0,0.0,0.0007940709370037057
nat,429592,-32.0,0.0,0.0008999470619375331
nat,429593,-31.0,0.0,0.0008470089994706193
nat,429594,-30.0,0.0,0.0016940179989412387
nat,429595,-29.0,0.0,0.0019057702488088936
nat,429596,-28.0,0.0,0.002911593435680254
nat,429597,-27.0,0.0,0.0020645844362096348
nat,429598,-26.0,0.0,0.0013763896241397566
nat,429599,-25.0,0.0,0.002541026998411858
nat,429600,-24.0,0.0,0.0018528321863419798
nat,429601,-23.0,0.0,0.004499735309687666
nat,429602,-22.0,0.0,0.003652726310217046
nat,429603,-21.0,0.0,0.0017998941238750663
nat,429604,-20.0,0.0,0.0013763896241397566
nat,429605,-19.0,0.0,0.000741132874536792
nat,429606,-18.0,0.0,0.0
nat,429607,-17.0,0.0,0.0
nat,429608,-16.0,0.0,5.293806246691371e-05
nat,429609,-15.0,0.0,0.000370566437268396
nat,429610,-14.0,0.0,0.0011646373742721016
nat,429611,-13.0,0.0,0.0012175754367390154
nat,429612,-12.0,0.0,0.002382212811011117
nat,429613,-11.0,0.0,0.0020645844362096348
nat,429614,-10.0,0.0,0.004023292747485442
nat,429615,-9.0,0.0,0.0037056643726839597
nat,429616,-8.0,0.0,0.003440974060349391
nat,429617,-7.0,0.0,0.003440974060349391
nat,429618,-6.0,0.0,0.006511381683430386
nat,429619,-5.0,0.0,0.0028586553732133403
nat,429620,-4.0,0.0,0.004023292747485442
nat,429621,-3.0,0.0,0.005876124933827422
nat,429622,-2.0,0.0,0.01154049761778719
nat,429623,-1.0,0.0,0.02271042879830598
nat,429624,0.0,1.0,1.0
nat,429625,1.0,0.0,0.036527263102170464
nat,429626,2.0,0.0,0.04351508734780307
nat,429627,3.0,0.0,0.02583377448385389
nat,429628,4.0,0.0,0.014028586553732134
nat,429629,5.0,0.0,0.00815246161990471
nat,429630,6.0,0.0,0.004552673372154579
nat,429631,7.0,0.0,0.005187930121757544
nat,429632,8.0,0.0,0.0013763896241397566
nat,429633,9.0,0.0,0.0035997882477501325
nat,429634,10.0,0.0,0.00555849655902594
nat,429635,11.0,0.0,0.005399682371625199
nat,429636,12.0,0.0,0.010481736368448914
nat,429637,13.0,0.0,0.013075701429327687
nat,429638,14.0,0.0,0.006776071995764955
nat,429639,15.0,0.0,0.01154049761778719
nat,429640,16.0,0.0,0.0065643197458973
nat,429641,17.0,0.0,0.005240868184224457
nat,429642,18.0,0.0,0.00884065643197459
nat,429643,19.0,0.0,0.007411328745367919
nat,429644,20.0,0.0,0.007199576495500265
nat,429645,21.0,0.0,0.003652726310217046
nat,429646,22.0,0.0,0.0070937003705664374
nat,429647,23.0,0.0,0.002911593435680254
nat,429648,24.0,0.0,0.0030174695606140817
nat,429649,25.0,0.0,0.0011116993118051879
nat,429650,26.0,0.0,0.002752779248279513
nat,429651,27.0,0.0,0.0015352038115404975
nat,429652,28.0,0.0,0.0016940179989412387
nat,429653,29.0,0.0,0.0004764425622022234
nat,429654,30.0,0.0,5.293806246691371e-05
nat,429655,31.0,0.0,0.00010587612493382742
nat,429656,32.0,0.0,5.293806246691371e-05
nat,429657,33.0,0.0,0.0
nat,429658,34.0,0.0,0.00026469031233456857
nat,429659,35.0,0.0,0.001958708311275807
nat,429660,36.0,0.0,0.0017998941238750663
nat,429661,37.0,0.0,0.0013234515616728428
nat,429662,38.0,0.0,0.0019057702488088936
nat,429663,39.0,0.0,0.001641079936474325
nat,429664,40.0,0.0,0.0010058231868713605
nat,429665,41.0,0.0,0.0017469560614081525
nat,429666,42.0,0.0,0.0008999470619375331
nat,429667,43.0,0.0,0.0011116993118051879
nat,429668,44.0,0.0,0.0008470089994706193
nat,429669,45.0,0.0,0.0013763896241397566
nat,429670,46.0,0.0,0.0009528851244044468
nat,429671,47.0,0.0,0.001482265749073584
9n,436983,-27.0,0.0,0.002335187254397308
9n,436984,-26.5,0.0,0.007036948688654255
9n,436985,-26.0,0.0,0.004281176633061732
9n,436987,-25.0,0.0,0.0037978179809418588
9n,436989,-24.0,0.0,0.008072717228911125
9n,436990,-23.5,0.0,0.004607600657869958
9n,436991,-23.0,0.0,0.006515925725979586
9n,436993,-22.0,0.0,0.0082610387816851
9n,436995,-21.0,0.0,0.004281176633061732
9n,436997,-20.0,0.0,0.0026992755897603292
9n,436998,-19.5,0.0,0.0017388356706130495
9n,436999,-19.0,0.0,0.002065259695421275
9n,437000,-18.5,0.0,0.005530376266462442
