manifestacion,hour,hour_rel,hour_abs,q_fixed_induced,q_fixed_singleton,q_louvain_induced,q_louvain_singleton,n_nodes_ref,n_nodes_induced,n_nodes_window,n_nodes_new,n_edges_induced,n_edges_window
nat,429564,-60.0,-60.0,0.07571660356949703,0.006086217129291455,,,592,39,230,191,43,592
nat,429565,-59.0,-59.0,-0.07125,-0.00650797186774019,,,592,35,239,204,20,469
nat,429566,-58.0,-58.0,0.0568,-0.0030534406575971136,,,592,45,355,310,25,909
nat,429567,-57.0,-57.0,0.012396694214876033,-0.0026990127883570465,,,592,45,330,285,44,934
nat,429568,-56.0,-56.0,-0.04148760330578514,-0.006014013886904794,,,592,50,315,265,55,753
nat,429569,-55.0,-55.0,0.08136094674556213,0.002147499846307753,,,592,51,290,239,52,846
nat,429570,-54.0,-54.0,0.0640816326530612,0.00043568961389829316,,,592,40,318,278,35,855
nat,429571,-53.0,-53.0,-0.04863165680473371,-0.002019693281340222,,,592,57,301,244,52,627
nat,429572,-52.0,-52.0,0.04866850321395776,0.00574268509421487,,,592,50,267,217,66,769
nat,429573,-51.0,-51.0,-0.014438085327783583,-0.005350017564057234,,,592,49,316,267,62,1321
nat,429574,-50.0,-50.0,0.04359999999999999,0.0078084076765033966,,,592,45,301,256,50,607
nat,429575,-49.0,-49.0,0.1566587395957194,0.03896926323815065,,,592,69,341,272,116,893
nat,429576,-48.0,-48.0,0.041609510745313195,0.015169741755065694,,,592,58,265,207,81,506
nat,429577,-47.0,-47.0,0.044143566736099996,0.00480367954956994,,,592,64,298,234,79,752
nat,429578,-46.0,-46.0,-0.009451019066403688,0.003098221668063624,,,592,50,267,217,78,727
nat,429579,-45.0,-45.0,-0.05867768595041324,-0.001122367280983004,,,592,47,199,152,55,523
nat,429580,-44.0,-44.0,-0.02785289345592213,-0.0017982509536563595,,,592,34,162,128,43,444
nat,429581,-43.0,-43.0,-0.0859375,-0.013888353072798117,,,592,19,87,68,8,161
nat,429582,-42.0,-42.0,0.56,0.025301021185794845,,,592,13,54,41,5,81
nat,429583,-41.0,-41.0,-0.09876543209876544,-0.025667707249392987,,,592,15,49,34,18,93
nat,429584,-40.0,-40.0,-0.09375,-0.021315586419753087,,,592,9,43,34,4,72
nat,429585,-39.0,-39.0,-0.059999999999999984,-0.01353949687550072,,,592,8,54,46,5,79
nat,429586,-38.0,-38.0,-0.08560000000000001,-0.011543038693335663,,,592,35,145,110,50,428
nat,429587,-37.0,-37.0,-0.04132231404958676,0.0014072353671714967,,,592,55,229,174,99,498
nat,429588,-36.0,-36.0,-0.004325259515570948,0.005039820558483832,,,592,52,239,187,68,501
nat,429589,-35.0,-35.0,-0.045510204081632664,-0.004813766893968074,,,592,63,349,286,70,902
nat,429590,-34.0,-34.0,-0.010669105319311093,-0.0003104816107951545,,,592,52,352,300,81,1099
nat,429591,-33.0,-33.0,-0.006172839506172855,-0.002963022161516795,,,592,54,334,280,81,1113
nat,429592,-32.0,-32.0,0.06792534722222222,0.0036690584257813713,,,592,57,291,234,48,622
nat,429593,-31.0,-31.0,0.07742969028123886,0.0043879574544799,,,592,65,293,228,53,645
nat,429594,-30.0,-30.0,-0.003355555555555563,0.0025078709785033675,,,592,65,345,280,150,1095
nat,429595,-29.0,-29.0,0.03277777777777778,0.000345491470567438,,,592,62,298,236,120,1057
nat,429596,-28.0,-28.0,0.05647027411890352,0.007943765887531772,,,592,70,345,275,106,1016
nat,429597,-27.0,-27.0,0.02789518174133559,0.002164395610165932,,,592,68,343,275,91,1104
nat,429598,-26.0,-26.0,0.052095347943098794,0.007425241670601543,,,592,53,247,194,51,439
nat,429599,-25.0,-25.0,0.037295918367346935,0.0008196299675173874,,,592,75,363,288,140,1626
nat,429600,-24.0,-24.0,0.025921521997621877,0.0033792862686199817,,,592,83,374,291,145,1262
nat,429601,-23.0,-23.0,0.24029982363315694,0.04668959618219967,,,592,78,335,257,126,913
nat,429602,-22.0,-22.0,0.04260330578512394,0.0065577817452445505,,,592,70,364,294,110,1065
nat,429603,-21.0,-21.0,0.07465277777777778,0.0063711510752033915,,,592,64,285,221,72,753
nat,429604,-20.0,-20.0,0.0087719298245614,0.009891110255243163,,,592,38,165,127,57,338
nat,429605,-19.0,-19.0,-0.027500000000000004,-0.00679930795847751,,,592,40,140,100,60,340
nat,429606,-18.0,-18.0,-0.26,-0.05165267297268573,,,592,8,39,31,5,97
nat,429607,-17.0,-17.0,-0.5,-0.031190926275992438,,,592,6,39,33,1,46
nat,429608,-16.0,-16.0,-1.3877787807814457e-17,-0.021096479441010476,,,592,13,49,36,3,61
nat,429609,-15.0,-15.0,0.10778061224489796,0.01808032312147538,,,592,32,100,68,28,162
nat,429610,-14.0,-14.0,0.114296875,0.021349462031922634,,,592,65,182,117,80,421
nat,429611,-13.0,-13.0,0.059926293863162956,0.007047988852907006,,,592,62,237,175,79,509
nat,429612,-12.0,-12.0,-0.01488703923900119,0.00018214481104284142,,,592,61,315,254,145,872
nat,429613,-11.0,-11.0,0.028876410590277783,0.010130324636779917,,,592,79,344,265,192,1064
nat,429614,-10.0,-10.0,0.011380771733781997,0.010971043008822864,,,592,92,358,266,251,953
nat,429615,-9.0,-9.0,0.029077646683673478,0.00746182536092971,,,592,87,387,300,224,1501
nat,429616,-8.0,-8.0,-0.00542899408284022,0.009231853654725229,,,592,92,383,291,260,1091
nat,429617,-7.0,-7.0,0.03457496716081814,0.01635705017301038,,,592,89,338,249,146,680
nat,429618,-6.0,-6.0,0.011917009602194797,0.012648903569165504,,,592,83,307,224,216,1093
nat,429619,-5.0,-5.0,0.07982807093425605,0.004955686871446046,,,592,83,400,317,136,1939
nat,429620,-4.0,-4.0,0.04988987838743656,0.016535160421858312,,,592,92,320,228,177,848
nat,429621,-3.0,-3.0,0.053711650840029226,0.029171444954128444,,,592,100,322,222,296,872
nat,429622,-2.0,-2.0,0.0250794729306705,0.017069549233307172,,,592,117,416,299,406,1579
nat,429623,-1.0,-1.0,0.02303407275084924,0.021797993399631347,,,592,202,577,375,2291,4515
nat,429624,0.0,0.0,0.34066606108833936,0.34066606108833936,,,592,592,592,0,4470,4470
nat,429625,1.0,1.0,0.023838023191657176,0.031552010133269526,,,592,191,492,301,2478,3899
nat,429626,2.0,2.0,0.022565752936988245,0.031687328160483114,,,592,168,529,361,1325,3146
nat,429627,3.0,3.0,0.05807914313871169,0.055601443880087274,,,592,139,336,197,847,1499
nat,429628,4.0,4.0,0.036750168605241995,0.039414709750082384,,,592,118,284,166,658,1267
nat,429629,5.0,5.0,0.028261319582972667,0.03890294984796186,,,592,93,193,100,652,1248
nat,429630,6.0,6.0,0.030664772867217818,0.030017801704491705,,,592,59,114,55,349,682
nat,429631,7.0,7.0,0.030400000000000024,0.05093209251662018,,,592,51,83,32,275,411
nat,429632,8.0,8.0,0.009494621717444867,0.026765784438775517,,,592,39,70,31,129,224
nat,429633,9.0,9.0,0.05333042088042828,0.06029524708475748,,,592,50,79,29,328,413
nat,429634,10.0,10.0,-0.007606472350062105,0.018366620411069377,,,592,68,119,51,234,371
nat,429635,11.0,11.0,0.002237948536653125,0.01597704614849184,,,592,81,195,114,398,703
nat,429636,12.0,12.0,-0.009693220552960489,-0.00047458911953032816,,,592,101,321,220,445,2490
nat,429637,13.0,13.0,-0.00809206177513369,0.011100497669489234,,,592,113,352,239,645,1639
nat,429638,14.0,14.0,0.02847717127417966,0.018982260880409028,,,592,87,322,235,226,1188
nat,429639,15.0,15.0,-0.028550047423882514,0.01039546313799622,,,592,92,332,240,339,1725
nat,429640,16.0,16.0,-0.00775909423828125,0.010039408783577196,,,592,86,327,241,256,1031
nat,429641,17.0,17.0,0.048493969138159516,0.025346821034121902,,,592,84,310,226,211,1014
nat,429642,18.0,18.0,0.009163223140495844,0.012368187473770947,,,592,88,345,257,220,1327
nat,429643,19.0,19.0,0.04255138440631901,0.027527656745133546,,,592,79,255,176,203,752
nat,429644,20.0,20.0,0.08560409457900806,0.02705203511223687,,,592,74,253,179,204,856
nat,429645,21.0,21.0,0.03267567414777544,0.011405598665050854,,,592,82,309,227,133,794
nat,429646,22.0,22.0,0.0016326530612244823,3.1094333990458714e-05,,,592,77,326,249,140,1203
nat,429647,23.0,23.0,0.07422287152016882,0.013614057728952356,,,592,71,298,227,111,749
nat,429648,24.0,24.0,0.043553875236294906,0.014261628923611746,,,592,67,267,200,115,619
nat,429649,25.0,25.0,-0.021148393194707,0.002443951631152564,,,592,56,238,182,92,493
