manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
9n,436965,-36.0,,,0.0,0.0,
9n,436966,-35.5,,,0.0,0.0,
9n,436967,-35.0,,,0.0,0.0,
9n,436968,-34.5,,,0.0,0.0,
9n,436969,-34.0,,,0.0,0.0,
9n,436970,-33.5,,,0.0,0.0,
9n,436971,-33.0,,,0.0,0.0,
9n,436972,-32.5,,,0.0,0.0,
9n,436973,-32.0,,,0.0,0.0,
9n,436974,-31.5,,,0.0,0.0,
9n,436975,-31.0,,,0.0,0.0,
9n,436976,-30.5,,,0.0,0.0,
9n,436977,-30.0,,,0.0,0.0,
9n,436978,-29.5,,,0.0,0.0,
9n,436979,-29.0,,,0.0,0.0,
9n,436980,-28.5,,,0.0,0.0,
9n,436981,-28.0,,,0.0,0.0,
9n,436982,-27.5,,,0.0,0.0,
9n,436983,-27.0,0.036045551712509165,0.6512288984701826,0.0,0.0032361205309563027,0.7671581174800132
9n,436984,-26.5,0.04329226094190704,0.5596064861661324,0.0,0.005697122371863192,0.6612169250579912
9n,436985,-26.0,0.04129769027627561,0.5020869478283349,0.0,0.004214707877143687,0.702655110793048
9n,436986,-25.5,0.027682606984153764,0.5133821539878729,0.0,0.002654781513419242,0.7170057233780958
9n,436987,-25.0,0.021266751770462135,0.5031820208062415,0.0,0.003875593450247069,0.6760099062577817
9n,436988,-24.5,0.04025125585871232,0.5375613884884612,0.0,0.005348318961340955,0.688681966184063
9n,436989,-24.0,0.052400694623110894,0.5251284147084503,0.0,0.006007169847882957,0.683508269767379
9n,436990,-23.5,0.0651630494086579,0.5295702333309963,0.0,0.005183606239705455,0.6658080517775118
9n,436991,-23.0,0.06001314284167639,0.5211201494638155,0.0,0.004515066369537835,0.6738563525653394
9n,436992,-22.5,0.06054520238049842,0.5198704166565556,0.0,0.006888867357814165,0.6512295191405217
9n,436993,-22.0,0.051032301248925035,0.4614762814038753,0.0,0.007102024997577754,0.6263529136090431
9n,436994,-21.5,0.04321416103525923,0.4531128181950145,0.0,0.007072958046700901,0.633488642295938
9n,436995,-21.0,0.058943987304106334,0.46549077087879387,0.0,0.00420501889351807,0.6976328031270097
9n,436996,-20.5,0.06593546413274304,0.5655915487888277,0.0,0.003730258695862804,0.6967632249290436
9n,436997,-20.0,0.06467239725909214,0.5488060336830474,0.0,0.0029454510221877724,0.7418964030810529
9n,436998,-19.5,0.035770146749807157,0.5687130940574308,0.0,0.0009979653134386203,0.7873269731005782
9n,436999,-19.0,0.021097021352902093,0.6181471760936278,0.0,0.0013467687239608565,0.7266805078120787
9n,437000,-18.5,0.03444168877012984,0.63876716748302,0.0,0.005251429125084779,0.6678107097801725
9n,437001,-18.0,0.03610627028154417,0.595689354907641,0.0,0.005852146109873074,0.6037293698902725
9n,437002,-17.5,0.051648163343820656,0.589922563663123,0.0,0.007315182637341343,0.6355495756502179
9n,437003,-17.0,0.06639831746630219,0.626751390328966,0.0,0.006714465652553047,0.6826035173173873
9n,437004,-16.5,0.052285710334049794,0.6760363328511956,0.0,0.012624745664179827,0.5939336504899048
9n,437005,-16.0,0.03703635674063494,0.6898354061364346,0.0,0.011927138843135355,0.5933839735183016
9n,437006,-15.5,0.04329167163970474,0.7006106969600849,0.0,0.01194651681038659,0.619154044413968
9n,437007,-15.0,0.06427496311965754,0.5926791087203918,0.0,0.006549752930917547,0.678539108738971
9n,437008,-14.5,0.08949889483999442,0.5483809237390663,0.0,0.005677744404611956,0.6905708719908105
9n,437009,-14.0,0.08147091737674816,0.5201862711289351,0.0,0.007896521654878403,0.6793472931894823
9n,437010,-13.5,0.0761351805484117,0.5136790471813869,0.0,0.010047476019765527,0.6526868275790163
9n,437011,-13.0,0.08270929077664296,0.5451472103113593,0.0,0.013332041468849918,0.6146324007463978
