manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
ch,394669,-24.0,0.0028158958343104876,0.40899186172364016,0.0,0.0038345066268140166,0.6950228097120322
ch,394670,-23.5,-0.02198366789112154,0.5137241219876625,0.0,0.0,0.682681543538869
ch,394671,-23.0,0.018414712608816365,0.36787431883489125,0.0,0.0045227514059857634,0.6648454238105999
ch,394672,-22.5,-0.021899056420548395,0.3548193770585199,0.0,0.0,0.6449793342698829
ch,394673,-22.0,0.037525396543108935,0.4843616349290606,0.0,0.007197073976481692,0.7119990627298198
ch,394674,-21.5,-0.01928167417475396,0.5381085981344217,0.0,0.0,0.7231344909702213
ch,394675,-21.0,0.03815136767284627,0.60149473467053,0.0,0.005977897510520313,0.7801750658128538
ch,394676,-20.5,-0.011198258092611409,0.6714797503266076,0.0,0.0,0.7754495379094719
ch,394677,-20.0,0.032912341025810574,0.639838325729022,0.0,0.005859912691233728,0.7772953102372839
ch,394678,-19.5,-0.01666711848366928,0.6217481498093743,0.0,0.0,0.7938599113202846
ch,394679,-19.0,0.025854545504522344,0.6478472641212519,0.0,0.0014158178314390216,0.7911928516122921
ch,394680,-18.5,0.053808966256325995,0.723440522165512,0.0,0.0018287646989420695,0.801044344104017
ch,394681,-18.0,0.01644741367056568,0.721627408993576,0.0,0.0005112675502418689,0.8561596069766946
ch,394682,-17.5,-0.01679489585288047,0.8087821354850816,0.0,1.9664136547764188e-05,0.9186400678594777
ch,394683,-17.0,-0.04527579976618132,0.47204803911148896,0.0,3.9328273095528376e-05,0.8991905131229238
ch,394684,-16.5,-0.010146077070526794,0.6407561636591976,0.0,9.832068273882094e-05,0.8884805137270964
ch,394685,-16.0,0.050911208716542505,0.7756436700720717,0.0,0.00041294686750304794,0.8925041522363563
ch,394686,-15.5,0.029524217294633733,0.707653536446127,0.0,0.001258504739056908,0.8136376757205434
ch,394687,-15.0,0.024661138739260343,0.730169766648401,0.0,0.0024383529319227594,0.7805567205094891
ch,394688,-14.5,0.04767022549760644,0.7409203554106828,0.0,0.0030872694379989775,0.7845905733873406
ch,394689,-14.0,0.047285997319503524,0.6871470194044637,0.0,0.00399181971919613,0.8012508647064452
ch,394690,-13.5,0.025901737689942674,0.6644373896474854,0.0,0.0049553624100365755,0.783528535949447
ch,394691,-13.0,0.0406030731366784,0.6969713858414566,0.0,0.008691548354111771,0.7657066936745056
ch,394692,-12.5,0.046927109019832706,0.7149755099697046,0.0,0.004365438313603649,0.7895721901640358
ch,394693,-12.0,0.016968748482133054,0.6743142301053777,0.0,0.005328981004444095,0.7967583484500824
ch,394694,-11.5,0.04298666666666667,0.6884393333333333,0.0,0.005604278916112793,0.7806463238905269
ch,394695,-11.0,0.06550120397544822,0.7115480843216534,0.0,0.006587485743501003,0.7733329385224105
ch,394696,-10.5,0.04196714788485933,0.7263369639912157,0.0,0.004050812128839423,0.773371474566262
ch,394697,-10.0,0.026314257025606726,0.7146483238177794,0.0,0.005112675502418689,0.7635666108047732
ch,394698,-9.5,0.025051659555727822,0.749729627325205,0.0,0.005368309277539623,0.7545158535886719
ch,394699,-9.0,0.020060832614503452,0.7347549637467073,0.0,0.006843119518621937,0.7303113703806053
ch,394700,-8.5,0.001031040777113823,0.6850320805090067,0.0,0.004385102450151414,0.7204804324414676
