variant,manifestation,band_type,start_hour,end_hour,band_width_hours,hour_window_h,n_tw_in_band,min_hour,min_epsilon2_cco_ma3,ctw_hour,ctw_in_band,distance_to_ctw_h
notebook,nat,grey,429580,429587,8,1,8,429583,0.008333333333333371,429623,False,40
notebook,nat,grey,429604,429611,8,1,8,429607,0.0,429623,False,16
notebook,nat,grey,429628,429635,8,1,8,429628,0.3446,429623,False,5
notebook,nat,grey,429652,429659,8,1,8,429655,0.0,429623,False,32
notebook,nat,orange,429620,429628,9,1,9,429624,0.14443333333333339,429623,True,1
notebook,9n,grey,436996,437003,8,2,8,436996,0.2136,437037,False,41
notebook,9n,grey,437020,437027,8,2,8,437021,0.1832666666666667,437037,False,16
notebook,9n,grey,437044,437051,8,2,8,437051,0.12699999999999997,437037,False,14
notebook,9n,grey,437068,437075,8,2,8,437069,0.21386666666666657,437037,False,32
notebook,9n,orange,437033,437043,11,2,11,437041,0.09489999999999997,437037,True,4
notebook,9n,orange,437059,437062,4,2,4,437061,0.06709999999999997,437037,False,24
notebook,9n,orange,437013,437018,6,2,6,437017,0.08586666666666666,437037,False,20
notebook,ch,grey,394680,394687,8,2,8,394683,0.025033333333333296,394717,False,34
notebook,ch,grey,394704,394711,8,2,8,394709,0.1468666666666666,394717,False,8
notebook,ch,grey,394728,394735,8,2,8,394731,0.11249999999999989,394717,False,14
notebook,ch,grey,394752,394754,3,2,2,394753,0.26053333333333323,394717,False,36
notebook,ch,orange,394716,394724,9,2,9,394721,0.18763333333333324,394717,True,4
