hour,raw,rolling_mean_3,rolling_median_3,savgol_5_2
436983,0.1585,0.1585,0.1585,0.15789714285714276
436984,0.1804,0.16945,0.16945,0.17743142857142846
436985,0.1743,0.17106666666666667,0.1743,0.186822857142857
436987,0.1998,0.18483333333333332,0.1804,0.18922285714285703
436989,0.1704,0.1815,0.1743,0.16408285714285703
436990,0.123,0.16440000000000002,0.1704,0.1434685714285713
436991,0.1682,0.15386666666666668,0.1682,0.15446857142857132
436993,0.1778,0.15633333333333332,0.1682,0.16701714285714273
436995,0.1838,0.1766,0.1778,0.233582857142857
436997,0.344,0.2352,0.1838,0.24939714285714265
436998,0.2354,0.2544,0.2354,0.3584085714285712
436999,0.5387,0.3727,0.344,0.4471485714285711
437000,0.4995,0.4245333333333334,0.4995,0.5211342857142853
437001,0.4315,0.4899,0.4995,0.4527828571428568
437002,0.396,0.4423333333333333,0.4315,0.32525999999999966
437003,0.206,0.3445,0.396,0.3554942857142855
437005,0.4998,0.36726666666666663,0.396,0.32998285714285697
437006,0.1716,0.2924666666666667,0.206,0.2515457142857141
437007,0.0968,0.25606666666666666,0.1716,0.12223999999999982
437008,0.2181,0.16216666666666665,0.1716,0.17260285714285703
437009,0.1814,0.16543333333333332,0.1814,0.20142285714285701
437011,0.1634,0.18763333333333332,0.1814,0.1462142857142856
437013,0.1072,0.15066666666666667,0.1634,0.1329742857142856
437014,0.1564,0.14233333333333334,0.1564,0.14829999999999993
437015,0.1539,0.13916666666666666,0.1539,0.12323999999999992
437016,0.0371,0.1158,0.1539,0.08180857142857134
437017,0.1011,0.09736666666666667,0.1011,0.07313999999999993
437018,0.1194,0.08586666666666666,0.1011,0.1415057142857142
437019,0.1917,0.1374,0.1194,0.14341714285714274
437021,0.1598,0.15696666666666667,0.1598,0.2435171428571427
437023,0.4288,0.2601,0.1917,0.34593142857142833
437024,0.4271,0.3385666666666667,0.4271,0.476025714285714
437025,0.5499,0.46860000000000007,0.4288,0.5377885714285711
437026,0.6216,0.5328666666666667,0.5499,0.6403885714285711
437027,0.6079,0.5931333333333333,0.6079,0.5357028571428568
437029,0.2553,0.4949333333333333,0.6079,0.3085714285714283
437031,0.1526,0.3386,0.2553,0.1872542857142855
437033,0.2671,0.225,0.2553,0.20412571428571416
437035,0.1618,0.19383333333333333,0.1618,0.1940885714285713
437037,0.1344,0.18776666666666667,0.1618,0.11747999999999988
437038,0.1059,0.13403333333333334,0.1344,0.14717999999999992
437039,0.1947,0.145,0.1344,0.12622285714285708
437040,0.0376,0.11273333333333334,0.1059,0.08888285714285707
437041,0.0703,0.10086666666666666,0.0703,0.06230285714285706
437043,0.1302,0.07936666666666667,0.0703,0.11988857142857136
437044,0.148,0.11616666666666668,0.1302,0.15370857142857133
437045,0.1747,0.15096666666666667,0.148,0.1750685714285713
437046,0.1947,0.17246666666666666,0.1747,0.1893599999999999
437047,0.1881,0.18583333333333332,0.1881,0.20269714285714274
437049,0.1973,0.1933666666666667,0.1947,0.16509714285714275
437051,0.0944,0.15993333333333334,0.1881,0.12993714285714275
437053,0.1272,0.13963333333333333,0.1272,0.10846285714285706
437055,0.1289,0.11683333333333334,0.1272,0.1305885714285713
437057,0.1513,0.1358,0.1289,0.17202571428571417
437058,0.2265,0.16889999999999997,0.1513,0.19703142857142847
437059,0.1448,0.1742,0.1513,0.14302571428571423
437060,0.0403,0.1372,0.1448,0.06506285714285706
437061,0.0678,0.0843,0.0678,0.056117142857142796
437062,0.0932,0.0671,0.0678,0.06579714285714275
437063,0.1187,0.09323333333333333,0.0932,0.18920857142857125
437065,0.4662,0.22603333333333334,0.1187,0.4333028571428569
437066,0.635,0.40663333333333335,0.4662,0.6204714285714283
437067,0.5082,0.5364666666666666,0.5082,0.45096857142857116
437069,0.1384,0.4272,0.5082,0.2216199999999997
437071,0.2459,0.2975,0.2459,0.2635314285714283
437073,0.5801,0.3214666666666666,0.2459,0.5268028571428568
437074,0.6847,0.5035666666666666,0.5801,0.7470828571428567
437075,0.7252,0.6633333333333332,0.6847,0.575525714285714
437076,0.1393,0.5164000000000001,0.6847,0.2804971428571426
437077,0.1109,0.32513333333333333,0.1393,0.16086857142857114
437079,0.1766,0.14226666666666668,0.1393,0.12808285714285705
