manifestacion,window_h,entropy_norm,n_nodes,n_edges,n_hashtags_activity
nat,1,0.6247780007141083,642,4470,642
nat,2,0.6255957578874972,1054,8985,1054
nat,3,0.6407052022665668,1362,10957,1362
nat,4,0.6445792699560207,1553,12504,1553
nat,5,0.6299765158659366,1775,13863,1775
nat,6,0.6319137884430301,2052,16557,2052
nat,7,0.6139091598099298,2245,19018,2245
nat,8,0.6278468397703472,2448,20778,2448
9n,1,0.6052024075249086,870,9709,870
9n,2,0.6140846137015453,1313,17662,1313
9n,3,0.5511986533004436,1715,24768,1715
9n,4,0.5249621208107479,2159,39104,2159
9n,5,0.4917911292053677,2588,56429,2588
9n,6,0.4792371003132383,2877,66369,2877
9n,7,0.4750782538428907,3153,76064,3153
9n,8,0.4815896583543313,3471,88577,3471
ch,1,0.6930585374728311,483,1487,483
ch,2,0.6859082304444011,763,2645,763
ch,3,0.6846134873262854,1027,3918,1027
ch,4,0.6704200829616408,1275,4986,1275
ch,5,0.6776098901220006,1438,5475,1438
ch,6,0.6724476935276166,1531,5937,1531
ch,7,0.6621792994264816,1555,6049,1555
ch,8,0.6608315572642937,1574,6116,1574
