,Manifestación,Hora crítica,Ventana (h),Horas incluidas,Usuarios únicos,Hashtags únicos,Aristas (nodos hashtag),Aristas (nodos user),Densidad (nodos hashtag),Clustering (nodos hashtag),Grado medio (nodos hashtag),Densidad (nodos user),Clustering (nodos user),Grado medio (nodos user)
0,NAT,429624,1,429624,1374,642,4470,537866,0.021724,0.693758,13.9252,0.570226,0.89,782.9199
1,NAT,429624,2,"429623, 429624",2072,1054,8985,1127987,0.016191,0.727555,17.0493,0.525732,0.877129,1088.7905
2,NAT,429624,3,"429624, 429625, 429626",2615,1316,11515,1971243,0.013308,0.758981,17.5,0.576757,0.902752,1507.6428
3,NAT,429624,4,"429623, 429624, 429625, 429626",3215,1661,16242,2894620,0.011781,0.773736,19.5569,0.560267,0.900531,1800.6967
4,NAT,429624,5,"429621, 429622, 429623, 429624, 429625",3123,1816,16588,2146680,0.010065,0.755905,18.2687,0.440344,0.864292,1374.755
5,NAT,429624,6,"429621, 429622, 429623, 429624, 429625, 429626",3593,2088,20224,3085013,0.009282,0.779132,19.3716,0.478072,0.883227,1717.2352
6,NAT,429624,7,"429622, 429623, 429624, 429625, 429626, 429627, 429628",3961,2212,21760,4188824,0.008898,0.792661,19.6745,0.534099,0.903453,2115.0336
7,NAT,429624,8,"429619, 429620, 429621, 429622, 429623, 429624, 429625, 429626",3866,2549,24760,3154136,0.007625,0.789395,19.4272,0.422181,0.874179,1631.731
8,9N,437037,1,437037,1444,870,9709,362948,0.025684,0.790533,22.3195,0.34837,0.824446,502.6981
9,9N,437037,2,"437037, 437038",2279,1327,21707,939660,0.024673,0.807173,32.7159,0.361995,0.837419,824.6248
10,9N,437037,3,"437037, 437038, 437039",2888,1796,33860,1536272,0.021006,0.82423,37.706,0.368514,0.839994,1063.9003
11,9N,437037,4,"437035, 437036, 437037, 437038",3148,2100,37459,1740499,0.016996,0.834863,35.6752,0.351376,0.82962,1105.7808
12,9N,437037,5,"437033, 437034, 437035, 437036, 437037",3354,2588,56429,1516583,0.016857,0.838355,43.6082,0.269712,0.810042,904.3429
13,9N,437037,6,"437037, 437038, 437039, 437040, 437041, 437042",4074,2785,69267,3094788,0.017867,0.846306,49.7429,0.373014,0.847741,1519.2872
14,9N,437037,7,"437032, 437033, 437034, 437035, 437036, 437037, 437038",4042,3202,82626,2535095,0.016123,0.84995,51.609,0.310412,0.82067,1254.3765
15,9N,437037,8,"437031, 437032, 437033, 437034, 437035, 437036, 437037, 437038",4266,3469,92981,2804977,0.015458,0.849972,53.6068,0.308333,0.818287,1315.0384
16,CH,394717,1,394717,791,483,1487,123490,0.012775,0.645009,6.1573,0.395238,0.840322,312.2377
17,CH,394717,2,"394717, 394718",1523,894,3663,522003,0.009177,0.719085,8.1946,0.45039,0.865179,685.4931
18,CH,394717,3,"394715, 394716, 394717",1423,1027,3918,333477,0.007437,0.668997,7.63,0.329603,0.806067,468.6957
19,CH,394717,4,"394715, 394716, 394717, 394718",2086,1372,6094,857548,0.006479,0.705609,8.8834,0.394337,0.843146,822.1937
20,CH,394717,5,"394713, 394714, 394715, 394716, 394717",1842,1438,5475,500635,0.005299,0.676696,7.6147,0.295262,0.798645,543.5776
21,CH,394717,6,"394715, 394716, 394717, 394718, 394719, 394720",3163,1984,10805,2111850,0.005493,0.720889,10.8921,0.422311,0.856869,1335.3462
22,CH,394717,7,"394715, 394716, 394717, 394718, 394719, 394720, 394721",3586,2248,13134,2734354,0.0052,0.72917,11.6851,0.425388,0.859007,1525.0162
23,CH,394717,8,"394711, 394712, 394713, 394714, 394715, 394716, 394717, 394718",2597,1862,8300,1158618,0.004791,0.700223,8.9151,0.343711,0.828952,892.2742
