,Manifestación,Hora crítica,Ventana (h),Horas incluidas,Usuarios únicos (%),Hashtags únicos (%),Aristas (nodos hashtag) (%),Aristas (nodos user) (%),Densidad (nodos hashtag) (%),Clustering (nodos hashtag) (%),Grado medio (nodos hashtag) (%),Densidad (nodos user) (%),Clustering (nodos user) (%),Grado medio (nodos user) (%)
0,NAT,429624,1,429624,34.69,25.19,18.05,12.84,100.0,87.52,70.78,98.87,98.51,37.02
1,NAT,429624,2,"429623, 429624",52.31,41.35,36.29,26.93,74.53,91.79,86.66,91.15,97.09,51.48
2,NAT,429624,3,"429624, 429625, 429626",66.02,51.63,46.51,47.06,61.26,95.75,88.95,100.0,99.92,71.28
3,NAT,429624,4,"429623, 429624, 429625, 429626",81.17,65.16,65.6,69.1,54.23,97.61,99.4,97.14,99.68,85.14
4,NAT,429624,5,"429621, 429622, 429623, 429624, 429625",78.84,71.24,67.0,51.25,46.33,95.36,92.85,76.35,95.67,65.0
5,NAT,429624,6,"429621, 429622, 429623, 429624, 429625, 429626",90.71,81.91,81.68,73.65,42.73,98.29,98.46,82.89,97.76,81.19
6,NAT,429624,7,"429622, 429623, 429624, 429625, 429626, 429627, 429628",100.0,86.78,87.88,100.0,40.96,100.0,100.0,92.6,100.0,100.0
7,NAT,429624,8,"429619, 429620, 429621, 429622, 429623, 429624, 429625, 429626",97.6,100.0,100.0,75.3,35.1,99.59,98.74,73.2,96.76,77.15
8,9N,437037,1,437037,33.85,25.08,10.44,11.73,100.0,93.01,41.64,93.39,97.25,33.09
9,9N,437037,2,"437037, 437038",53.42,38.25,23.35,30.36,96.06,94.96,61.03,97.05,98.78,54.28
10,9N,437037,3,"437037, 437038, 437039",67.7,51.77,36.42,49.64,81.79,96.97,70.34,98.79,99.09,70.03
11,9N,437037,4,"437035, 437036, 437037, 437038",73.79,60.54,40.29,56.24,66.17,98.22,66.55,94.2,97.86,72.78
12,9N,437037,5,"437033, 437034, 437035, 437036, 437037",78.62,74.6,60.69,49.0,65.63,98.63,81.35,72.31,95.55,59.52
13,9N,437037,6,"437037, 437038, 437039, 437040, 437041, 437042",95.5,80.28,74.5,100.0,69.56,99.57,92.79,100.0,100.0,100.0
14,9N,437037,7,"437032, 437033, 437034, 437035, 437036, 437037, 437038",94.75,92.3,88.86,81.91,62.77,100.0,96.27,83.22,96.81,82.56
15,9N,437037,8,"437031, 437032, 437033, 437034, 437035, 437036, 437037, 437038",100.0,100.0,100.0,90.64,60.19,100.0,100.0,82.66,96.53,86.56
16,CH,394717,1,394717,22.06,21.49,11.32,4.52,100.0,88.46,52.69,87.75,97.13,20.47
17,CH,394717,2,"394717, 394718",42.47,39.77,27.89,19.09,71.84,98.62,70.13,100.0,100.0,44.95
18,CH,394717,3,"394715, 394716, 394717",39.68,45.69,29.83,12.2,58.22,91.75,65.3,73.18,93.17,30.73
19,CH,394717,4,"394715, 394716, 394717, 394718",58.17,61.03,46.4,31.36,50.72,96.77,76.02,87.55,97.45,53.91
20,CH,394717,5,"394713, 394714, 394715, 394716, 394717",51.37,63.97,41.69,18.31,41.48,92.8,65.17,65.56,92.31,35.64
21,CH,394717,6,"394715, 394716, 394717, 394718, 394719, 394720",88.2,88.26,82.27,77.23,43.0,98.86,93.21,93.77,99.04,87.56
22,CH,394717,7,"394715, 394716, 394717, 394718, 394719, 394720, 394721",100.0,100.0,100.0,100.0,40.7,100.0,100.0,94.45,99.29,100.0
23,CH,394717,8,"394711, 394712, 394713, 394714, 394715, 394716, 394717, 394718",72.42,82.83,63.19,42.37,37.5,96.03,76.29,76.31,95.81,58.51
